№;Город;Адрес;Отчетный месяц;Отчетный период начало;Отчетный период конец;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная отдача;Реактивная прием;Сальдо;Каталог
90;г. Москва;ул. Маршала Жукова, д.44;01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
91;г. Москва;просп. Маршала Жукова, д.11, к.1;01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
92;г. Москва;ул. Героев Панфиловцев, д.43;01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
93;г. Москва;ш. Пятницкое, д.25, к.1;01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
94;г. Москва;ул. Большая Грузинская, д.37;01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
95;г. Москва;б-р Славянский, д.3 (Доп.офис №5278/01219);01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
96;г. Москва;ш. Можайское, д.4 к.1 (Доп.офис №5278/01685);01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
97;г. Москва;просп. Буденного, д.30/8;01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
98;г. Москва;ш. Энтузиастов, д.22/18;01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
99;г. Москва;ул. Летчика Бабушкина, д.37, к.2;01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
100;г. Москва;ул. Академика Королева, д.5 (юр.лица);01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
101;г. Москва;ул. Академика Королева, д.5 (физ.лица);01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
102;г. Москва;ул. Академика Королева, д.5 (самообсл.);01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
103;г. Москва;просп. Мира, д.97, стр.1 (ВСП 1629);01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
104;г. Москва;просп. Мира, д.97, стр.1 (ВСП 1115);01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
105;г. Москва;ул. Дмитрия Ульянова, д.12, к.1 (Доп. офис №7813/483);01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
106;г. Москва;просп. Ленинский, д.93 (Доп. офис №7813/785);01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
107;г. Москва;просп. Ленинский, д.34/1;01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
108;г. Москва;просп. Ленинский, д.22;01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
109;г. Москва;просп. Вернадского, д.11/19;01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
110;г. Москва;ул. Профсоюзная, д.32, к.1 (Доп. офис №7813/1017);01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
111;г. Москва;ул. Голубинская, д.7, к.2;01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
112;г. Москва;ул. Голубинская, д. 24, корп. 1 (Доп. офис №7813/1431);01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
113;г. Москва;ул. Тарусская, д.18, к.1 (Доп. офис №7813/1396);01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
114;г. Москва;ул. Айвазовского, д.1А (Доп. офис №7813/1442);01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
115;г. Москва;просп. Ломоносовский, д.34;01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
116;г. Москва;ул. Люблинская, д.175 (Доп. офис №7977/01642);01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
117;г. Москва;пр. Путевой, д.40;01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
118;г. Москва;ул. 8 марта, д.6;01.01.2021;;;144;UTC+3;1;1;0;0;0;4 категория
