№;Город;Адрес;Отчетный месяц;Отчетный период начало;Отчетный период конец;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная отдача;Реактивная прием;Каталог
125;г. Москва;г. Ижевск, ул. Красная, д.105;01.01.2021;;;144;UTC+3;1;0;0;0;Волго-вятский банк
;;г. Йошкар-Ола, ул. Карла Маркса, д.109б;01.01.2021;;;144;UTC+3;1;0;0;0;Волго-вятский банк
;;г. Казань, ул. Бутлерова, д. 44;01.01.2021;;;144;UTC+3;1;0;0;0;Волго-вятский банк
;;г. Киров, ул. Дерендяева 25;01.01.2021;;;144;UTC+3;1;0;0;0;Волго-вятский банк
;;г. Набережные Челны, пр. им. Раиса Беляева , д.18;01.01.2021;;;144;UTC+3;1;0;0;0;Волго-вятский банк
;;г. Нижний Новгород, ул. Академика Сахарова, д.2;01.01.2021;;;144;UTC+3;1;0;0;0;Волго-вятский банк
;;г. Нижний Новгород, ул. Керченская , д.18;01.01.2021;;;144;UTC+3;1;0;0;0;Волго-вятский банк
;;г. Нижний Новгород, ул. Костина , д.6;01.01.2021;;;144;UTC+3;1;0;0;0;Волго-вятский банк
;;г. Нижний Новгород, ул. Октябрьская, д.35а;01.01.2021;;;144;UTC+3;1;0;0;0;Волго-вятский банк
;;г. Пермь, б-р Гагарина, д.65а;01.01.2021;;;144;UTC+3;1;0;0;0;Волго-вятский банк
;;г. Пермь, ул. Куйбышева, д.66/1;01.01.2021;;;144;UTC+3;1;0;0;0;Волго-вятский банк
;;г. Пермь, ул. Мира, д.45, 45а;01.01.2021;;;144;UTC+3;1;0;0;0;Волго-вятский банк
;;г. Пермь, ул. Монастырская, д.4;01.01.2021;;;144;UTC+3;1;0;0;0;Волго-вятский банк
;;г. Пермь, ул. Сибирская, д.48/1;01.01.2021;;;144;UTC+3;1;0;0;0;Волго-вятский банк
;;г. Пермь, ш. Космонавтов, д.349;01.01.2021;;;144;UTC+3;1;0;0;0;Волго-вятский банк
