№;Город;Адрес;Отчетный месяц;Отчетный период начало;Отчетный период конец;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная отдача;Реактивная прием;Каталог
125;г. Москва;б-р Зубовский, д.13, стр.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г. Московский, д.18;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г. Троицк, мкр-н Б, Сиреневый б-р, д.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г. Троицк, мкр-н В, д.37;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;г. Троицк, мкр-н В, д.54;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;Ленинский р-н, п. Воскресенское, д.27;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;Ленинский р-н, п. Коммунарка, д.14;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;Ленинский р-н, п. Марьино, д.4;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;Наро-Фоминский р-н, п. Кокошкино, ул. Дзержинского, д.4;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;Наро-Фоминский р-н, п. Птичное, ул. Центральная, д.100;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;Наро-Фоминский р-н, пгт. Киевский, д.24;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;Новодевичий пр., д.4;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;пер. Сивцев Вражек, д.29/16, стр.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;Подольский р-н, д. Кленово, ул. Мичурина, д. 5;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;Подольский р-н, п. Фабрика 1 мая, д.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;Подольский р-н, с. Красная Пахра, д.10;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;пр. 3-й Сетуньский, д.16;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;пр. Боровский, д.14 (Доп. офис №7970/01461);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Вернадского, д.70А;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Вернадского, д.97, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Вернадского, д.119;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Ленинский, д.94А;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Ленинский, д.148 (Доп. офис №7970/01284);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Ломоносовский, д.34;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Мичуринский, д.3 (ВСП 805);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Мичуринский, д.31, к.4;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп. Солнцевский, д.11;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;просп.Университетский, д.23, к.2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. 2-я Рейсовая, д.8, стр.29;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. 50 лет Октября, д.11;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Арбат, д.33/12;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
