№;Город;Адрес;Отчетный месяц;Отчетный период начало;Отчетный период конец;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная отдача;Реактивная прием;Каталог
125;г. Москва;г. Балаково, ул. Трнавская, д.14;01.01.2021;;;144;UTC+3;1;0;0;0;Поволжский банк
;;г. Волгоград, пр-т им. Героев Сталинграда, д.50;01.01.2021;;;144;UTC+3;1;0;0;0;Поволжский банк
;;г. Волгоград, ул. 64 Армии, д.44;01.01.2021;;;144;UTC+3;1;0;0;0;Поволжский банк
;;г. Волгоград, ул. Коммунистическая, д.40;01.01.2021;;;144;UTC+3;1;0;0;0;Поволжский банк
;;г. Волжский, ул. Мира, д.71;01.01.2021;;;144;UTC+3;1;0;0;0;Поволжский банк
;;г. Кузнецк, ул. Стекловская, д.89;01.01.2021;;;144;UTC+3;1;0;0;0;Поволжский банк
;;г. Пенза, ул. Суворова, д.81;01.01.2021;;;144;UTC+3;1;0;0;0;Поволжский банк
;;г. Самара, пр-т Ленина, д.17;01.01.2021;;;144;UTC+3;1;0;0;0;Поволжский банк
;;г. Самара, ул. Гагарина, д.19;01.01.2021;;;144;UTC+3;1;0;0;0;Поволжский банк
;;г. Самара, ул. Ново-Вокзальная, д.130;01.01.2021;;;144;UTC+3;1;0;0;0;Поволжский банк
;;г. Самара, ул. Ново-Садовая, д.305;01.01.2021;;;144;UTC+3;1;0;0;0;Поволжский банк
;;г. Самара, ул. Самарская, д.207;01.01.2021;;;144;UTC+3;1;0;0;0;Поволжский банк
;;г. Самара, ул. Советская, д. /ул. Победы, д.144;01.01.2021;;;144;UTC+3;1;0;0;0;Поволжский банк
;;г. Самара, ул. Стара-Загора, д.158;01.01.2021;;;144;UTC+3;1;0;0;0;Поволжский банк
;;г. Самара, ш. Московское, д.15;01.01.2021;;;144;UTC+3;1;0;0;0;Поволжский банк
;;г. Саратов, ул. Вавилова, д.1/7;01.01.2021;;;144;UTC+3;1;0;0;0;Поволжский банк
;;г. Тольятти, ул. Юбилейная, д.55;01.01.2021;;;144;UTC+3;1;0;0;0;Поволжский банк
;;г. Ульяновск, ул. Гончарова, д.40;01.01.2021;;;144;UTC+3;1;0;0;0;Поволжский банк
;;г. Ульяновск, ул. Энгельса, д.15;01.01.2021;;;144;UTC+3;1;0;0;0;Поволжский банк
;;;;;;;;;;;;
