№;Город;Адрес;Отчетный месяц;Отчетный период начало;Отчетный период конец;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная отдача;Реактивная прием;Каталог
125;г. Москва;г. Архангельск, ул. Свободы, д.26;01.01.2021;;;144;UTC+3;1;0;0;0;Северо-Западный банк
;;г. Великий Новгород, пр. Мира, д.32;01.01.2021;;;144;UTC+3;1;0;0;0;Северо-Западный банк
;;г. Вологда, ул. Предтеченская, д.33;01.01.2021;;;144;UTC+3;1;0;0;0;Северо-Западный банк
;;г. Мурманск, пр-т Ленина, д.37;01.01.2021;;;144;UTC+3;1;0;0;0;Северо-Западный банк
;;г. Петрозаводск, пр. Ленина, д.10;01.01.2021;;;144;UTC+3;1;0;0;0;Северо-Западный банк
;;г. Петрозаводск, ул. Антикайнена, д.2;01.01.2021;;;144;UTC+3;1;0;0;0;Северо-Западный банк
;;г. Псков, пр. Октябрьский, д.23/25;01.01.2021;;;144;UTC+3;1;0;0;0;Северо-Западный банк
;;г. Санкт-Петербург, пр-т Ветеранов, д.114;01.01.2021;;;144;UTC+3;1;0;0;0;Северо-Западный банк
;;г. Санкт-Петербург, пр-т Лесной, д.19;01.01.2021;;;144;UTC+3;1;0;0;0;Северо-Западный банк
;;г. Санкт-Петербург, пр-т Невский, д.99/101;01.01.2021;;;144;UTC+3;1;0;0;0;Северо-Западный банк
;;г. Санкт-Петербург, пр-т Старо-Петергофский, д. 30а;01.01.2021;;;144;UTC+3;1;0;0;0;Северо-Западный банк
;;г. Санкт-Петербург, пр-т Шафировский, д.2аб;01.01.2021;;;144;UTC+3;1;0;0;0;Северо-Западный банк
;;г. Санкт-Петербург, пр-т Энергетиков, д.37;01.01.2021;;;144;UTC+3;1;0;0;0;Северо-Западный банк
;;г. Санкт-Петербург, ул. Красного текстильщика, д.2;01.01.2021;;;144;UTC+3;1;0;0;0;Северо-Западный банк
;;г. Череповец, б-р Доменщиков, д.29;01.01.2021;;;144;UTC+3;1;0;0;0;Северо-Западный банк
