№;Город;Адрес;Отчетный месяц;Отчетный период начало;Отчетный период конец;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная отдача;Реактивная прием;Каталог
125;г. Москва;г. Барнаул, пр-т Комсомольский, д.106;01.01.2021;;;144;UTC+3;1;0;0;0;Сибирский банк
;;г. Барнаул, пр. Красноармейский, д.77;01.01.2021;;;144;UTC+3;1;0;0;0;Сибирский банк
;;г. Барнаул, ул. Георгия Исакова, д.270;01.01.2021;;;144;UTC+3;1;0;0;0;Сибирский банк
;;г. Зеленогорск, ул. Строителей, д. 10;01.01.2021;;;144;UTC+3;1;0;0;0;Сибирский банк
;;г. Камень-на-Оби, ул. Ленина, д.72б;01.01.2021;;;144;UTC+3;1;0;0;0;Сибирский банк
;;г. Красноярск, пр-т Свободный, д.46;01.01.2021;;;144;UTC+3;1;0;0;0;Сибирский банк
;;г. Красноярск, пр-т. им.газеты Кpаснояpский pабочий, д. 150а;01.01.2021;;;144;UTC+3;1;0;0;0;Сибирский банк
;;г. Красноярск, ул. Александра Матросова, д. 2;01.01.2021;;;144;UTC+3;1;0;0;0;Сибирский банк
;;г. Красноярск, ул. Мечникова, д.54, стр. 6;01.01.2021;;;144;UTC+3;1;0;0;0;Сибирский банк
;;г. Красноярск, ул. Телевизорная, д.1, стр.15;01.01.2021;;;144;UTC+3;1;0;0;0;Сибирский банк
;;г. Новосибирск, мкр-н Горский, д.66;01.01.2021;;;144;UTC+3;1;0;0;0;Сибирский банк
;;г. Новосибирск, пр-т Димитрова, д.2;01.01.2021;;;144;UTC+3;1;0;0;0;Сибирский банк
;;г. Новосибирск, ул. Серебренниковская, д. 20;01.01.2021;;;144;UTC+3;1;0;0;0;Сибирский банк
;;г. Омск, ул. Жукова, д.4/1;01.01.2021;;;144;UTC+3;1;0;0;0;Сибирский банк
;;г. Омск, ул. Звездова, д.101а;01.01.2021;;;144;UTC+3;1;0;0;0;Сибирский банк
;;г. Омск, ул. Красный путь, д.111;01.01.2021;;;144;UTC+3;1;0;0;0;Сибирский банк
;;г. Рубцовск, ул. Ленина, д.47;01.01.2021;;;144;UTC+3;1;0;0;0;Сибирский банк
;;г. Томск, пр. Фрунзе, д.90/1;01.01.2021;;;144;UTC+3;1;0;0;0;Сибирский банк
