№;Город;Адрес;Отчетный месяц;Отчетный период начало;Отчетный период конец;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная отдача;Реактивная прием;Каталог
125;г. Москва;г. Балашиха, ул. Объединения, д.7/27;01.01.2021;;;144;UTC+3;1;0;0;0;Среднерусский банк
;;г. Иваново, пр-т Текстильщиков, д.10/16;01.01.2021;;;144;UTC+3;1;0;0;0;Среднерусский банк
;;г. Калуга, ул. Кирова, д.21а;01.01.2021;;;144;UTC+3;1;0;0;0;Среднерусский банк
;;г. Коломна, ул. Фрунзе, д.46;01.01.2021;;;144;UTC+3;1;0;0;0;Среднерусский банк
;;г. Королёв, пр. Космонавтов, д.6а;01.01.2021;;;144;UTC+3;1;0;0;0;Среднерусский банк
;;г. Одинцово, ул. Молодёжная, д.25;01.01.2021;;;144;UTC+3;1;0;0;0;Среднерусский банк
;;г. Тверь, ул. Володарского, д.7/ Трехсвятская, д.8 (ТП 1004);01.01.2021;;;144;UTC+3;1;0;0;0;Среднерусский банк
;;г. Тула, пл. Крестовоздвиженская, д.2;01.01.2021;;;144;UTC+3;1;0;0;0;Среднерусский банк
;;г. Химки, пр-т Юбилейный, д.73;01.01.2021;;;144;UTC+3;1;0;0;0;Среднерусский банк
;;г. Щёлково, ул. Комсомольская, д.11;01.01.2021;;;144;UTC+3;1;0;0;0;Среднерусский банк
;;г. Ярославль, ул. Советская, д.34;01.01.2021;;;144;UTC+3;1;0;0;0;Среднерусский банк
;;г. Москва, ул. Б.Андроньевская, д.8;01.01.2021;;;144;UTC+3;1;0;0;0;Среднерусский банк
