№;Город;Адрес;Отчетный месяц;Отчетный период начало;Отчетный период конец;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная отдача;Реактивная прием;Каталог
125;г. Москва;г. Белгород, пр. Гражданский, д.52;01.01.2021;;;144;UTC+3;1;0;0;0;Центрально-Черноземный банк
;;г. Воронеж, ул. 9 Января, д.28;01.01.2021;;;144;UTC+3;1;0;0;0;Центрально-Черноземный банк
;;г. Воронеж, ул. 9 Января, д.68;01.01.2021;;;144;UTC+3;1;0;0;0;Центрально-Черноземный банк
;;г. Воронеж, ул. 9 Января, д.302а;01.01.2021;;;144;UTC+3;1;0;0;0;Центрально-Черноземный банк
;;г. Воронеж, ул. Беговая, д.209;01.01.2021;;;144;UTC+3;1;0;0;0;Центрально-Черноземный банк
;;г. Воронеж, ул. Минская, д.2б;01.01.2021;;;144;UTC+3;1;0;0;0;Центрально-Черноземный банк
;;г. Воронеж, ул. Платонова, д.19;01.01.2021;;;144;UTC+3;1;0;0;0;Центрально-Черноземный банк
;;г. Курск, ул. Ленина, д.67;01.01.2021;;;144;UTC+3;1;0;0;0;Центрально-Черноземный банк
;;г. Курск, ул. Ленина, д.67а;01.01.2021;;;144;UTC+3;1;0;0;0;Центрально-Черноземный банк
;;г. Липецк, пл. Петра Великого, д.3;01.01.2021;;;144;UTC+3;1;0;0;0;Центрально-Черноземный банк
;;г. Липецк, ул. Первомайская, д.2;01.01.2021;;;144;UTC+3;1;0;0;0;Центрально-Черноземный банк
;;г. Старый Оскол, ул. Ленина, д.49/44;01.01.2021;;;144;UTC+3;1;0;0;0;Центрально-Черноземный банк
;;г. Тамбов, ул. Карла Маркса, д.130;01.01.2021;;;144;UTC+3;1;0;0;0;Центрально-Черноземный банк
