n;P+;R+;Time;Date
;108,6;0,0000;00:30;01.12.2020
;103,6;0,0000;01:00;01.12.2020
;100,6;0,0000;01:30;01.12.2020
;99,6;0,0000;02:00;01.12.2020
;99,6;0,0000;02:30;01.12.2020
;101,6;0,0000;03:00;01.12.2020
;100,6;0,0000;03:30;01.12.2020
;101,6;0,0000;04:00;01.12.2020
;100,6;0,0000;04:30;01.12.2020
;101,6;0,0000;05:00;01.12.2020
;100,6;0,0000;05:30;01.12.2020
;102,6;0,0000;06:00;01.12.2020
;101,6;0,0000;06:30;01.12.2020
;102,6;0,0000;07:00;01.12.2020
;101,6;0,0000;07:30;01.12.2020
;104,6;0,0000;08:00;01.12.2020
;104,6;0,0000;08:30;01.12.2020
;105,6;0,0000;09:00;01.12.2020
;104,6;0,0000;09:30;01.12.2020
;105,6;0,0000;10:00;01.12.2020
;105,6;0,0000;10:30;01.12.2020
;107,6;0,0000;11:00;01.12.2020
;105,6;0,0000;11:30;01.12.2020
;106,6;0,0000;12:00;01.12.2020
;106,6;0,0000;12:30;01.12.2020
;108,6;0,0000;13:00;01.12.2020
;106,6;0,0000;13:30;01.12.2020
;106,6;0,0000;14:00;01.12.2020
;106,6;0,0000;14:30;01.12.2020
;107,6;0,0000;15:00;01.12.2020
;107,6;0,0000;15:30;01.12.2020
;108,6;0,0000;16:00;01.12.2020
;111,6;0,0000;16:30;01.12.2020
;116,6;0,0000;17:00;01.12.2020
;117,6;0,0000;17:30;01.12.2020
;117,6;0,0000;18:00;01.12.2020
;115,6;0,0000;18:30;01.12.2020
;115,6;0,0000;19:00;01.12.2020
;114,6;0,0000;19:30;01.12.2020
;114,6;0,0000;20:00;01.12.2020
;112,6;0,0000;20:30;01.12.2020
;114,6;0,0000;21:00;01.12.2020
;112,6;0,0000;21:30;01.12.2020
;112,6;0,0000;22:00;01.12.2020
;110,6;0,0000;22:30;01.12.2020
;109,6;0,0000;23:00;01.12.2020
;107,6;0,0000;23:30;01.12.2020
;107,6;0,0000;00:00;02.12.2020
;107,6;0,0000;00:30;02.12.2020
;100,6;0,0000;01:00;02.12.2020
;99,6;0,0000;01:30;02.12.2020
;100,6;0,0000;02:00;02.12.2020
;99,6;0,0000;02:30;02.12.2020
;100,6;0,0000;03:00;02.12.2020
;98,6;0,0000;03:30;02.12.2020
;99,6;0,0000;04:00;02.12.2020
;99,6;0,0000;04:30;02.12.2020
;99,6;0,0000;05:00;02.12.2020
;101,6;0,0000;05:30;02.12.2020
;105,6;0,0000;06:00;02.12.2020
;113,6;0,0000;06:30;02.12.2020
;120,6;0,0000;07:00;02.12.2020
;132,6;0,0000;07:30;02.12.2020
;143,6;0,0000;08:00;02.12.2020
;150,6;0,0000;08:30;02.12.2020
;169,6;0,0000;09:00;02.12.2020
;177,6;0,0000;09:30;02.12.2020
;179,6;0,0000;10:00;02.12.2020
;180,6;0,0000;10:30;02.12.2020
;180,6;0,0000;11:00;02.12.2020
;181,6;0,0000;11:30;02.12.2020
;183,6;0,0000;12:00;02.12.2020
;185,6;0,0000;12:30;02.12.2020
;186,6;0,0000;13:00;02.12.2020
;182,6;0,0000;13:30;02.12.2020
;181,6;0,0000;14:00;02.12.2020
;181,6;0,0000;14:30;02.12.2020
;179,6;0,0000;15:00;02.12.2020
;180,6;0,0000;15:30;02.12.2020
;181,6;0,0000;16:00;02.12.2020
;180,6;0,0000;16:30;02.12.2020
;181,6;0,0000;17:00;02.12.2020
;182,6;0,0000;17:30;02.12.2020
;178,6;0,0000;18:00;02.12.2020
;168,6;0,0000;18:30;02.12.2020
;160,6;0,0000;19:00;02.12.2020
;150,6;0,0000;19:30;02.12.2020
;140,6;0,0000;20:00;02.12.2020
;130,6;0,0000;20:30;02.12.2020
;127,6;0,0000;21:00;02.12.2020
;123,6;0,0000;21:30;02.12.2020
;119,6;0,0000;22:00;02.12.2020
;114,6;0,0000;22:30;02.12.2020
;107,6;0,0000;23:00;02.12.2020
;105,6;0,0000;23:30;02.12.2020
;106,6;0,0000;00:00;03.12.2020
;105,6;0,0000;00:30;03.12.2020
;100,6;0,0000;01:00;03.12.2020
;97,6;0,0000;01:30;03.12.2020
;99,6;0,0000;02:00;03.12.2020
;98,6;0,0000;02:30;03.12.2020
;98,6;0,0000;03:00;03.12.2020
;97,6;0,0000;03:30;03.12.2020
;98,6;0,0000;04:00;03.12.2020
;96,6;0,0000;04:30;03.12.2020
;99,6;0,0000;05:00;03.12.2020
;100,6;0,0000;05:30;03.12.2020
;107,6;0,0000;06:00;03.12.2020
;113,6;0,0000;06:30;03.12.2020
;120,6;0,0000;07:00;03.12.2020
;131,6;0,0000;07:30;03.12.2020
;140,6;0,0000;08:00;03.12.2020
;152,6;0,0000;08:30;03.12.2020
;167,6;0,0000;09:00;03.12.2020
;171,6;0,0000;09:30;03.12.2020
;175,6;0,0000;10:00;03.12.2020
;173,6;0,0000;10:30;03.12.2020
;174,6;0,0000;11:00;03.12.2020
;172,6;0,0000;11:30;03.12.2020
;175,6;0,0000;12:00;03.12.2020
;177,6;0,0000;12:30;03.12.2020
;179,6;0,0000;13:00;03.12.2020
;173,6;0,0000;13:30;03.12.2020
;171,6;0,0000;14:00;03.12.2020
;169,6;0,0000;14:30;03.12.2020
;168,6;0,0000;15:00;03.12.2020
;169,6;0,0000;15:30;03.12.2020
;170,6;0,0000;16:00;03.12.2020
;175,6;0,0000;16:30;03.12.2020
;178,6;0,0000;17:00;03.12.2020
;176,6;0,0000;17:30;03.12.2020
;174,6;0,0000;18:00;03.12.2020
;165,6;0,0000;18:30;03.12.2020
;160,6;0,0000;19:00;03.12.2020
;150,6;0,0000;19:30;03.12.2020
;141,6;0,0000;20:00;03.12.2020
;131,6;0,0000;20:30;03.12.2020
;129,6;0,0000;21:00;03.12.2020
;123,6;0,0000;21:30;03.12.2020
;118,6;0,0000;22:00;03.12.2020
;115,6;0,0000;22:30;03.12.2020
;110,6;0,0000;23:00;03.12.2020
;105,6;0,0000;23:30;03.12.2020
;107,6;0,0000;00:00;04.12.2020
;105,6;0,0000;00:30;04.12.2020
;100,6;0,0000;01:00;04.12.2020
;97,6;0,0000;01:30;04.12.2020
;99,6;0,0000;02:00;04.12.2020
;98,6;0,0000;02:30;04.12.2020
;99,6;0,0000;03:00;04.12.2020
;98,6;0,0000;03:30;04.12.2020
;100,6;0,0000;04:00;04.12.2020
;99,6;0,0000;04:30;04.12.2020
;100,6;0,0000;05:00;04.12.2020
;100,6;0,0000;05:30;04.12.2020
;104,6;0,0000;06:00;04.12.2020
;111,6;0,0000;06:30;04.12.2020
;126,6;0,0000;07:00;04.12.2020
;131,6;0,0000;07:30;04.12.2020
;143,6;0,0000;08:00;04.12.2020
;152,6;0,0000;08:30;04.12.2020
;171,6;0,0000;09:00;04.12.2020
;176,6;0,0000;09:30;04.12.2020
;178,6;0,0000;10:00;04.12.2020
;178,6;0,0000;10:30;04.12.2020
;182,6;0,0000;11:00;04.12.2020
;180,6;0,0000;11:30;04.12.2020
;183,6;0,0000;12:00;04.12.2020
;184,6;0,0000;12:30;04.12.2020
;187,6;0,0000;13:00;04.12.2020
;183,6;0,0000;13:30;04.12.2020
;183,6;0,0000;14:00;04.12.2020
;181,6;0,0000;14:30;04.12.2020
;180,6;0,0000;15:00;04.12.2020
;185,6;0,0000;15:30;04.12.2020
;186,6;0,0000;16:00;04.12.2020
;183,6;0,0000;16:30;04.12.2020
;183,6;0,0000;17:00;04.12.2020
;183,6;0,0000;17:30;04.12.2020
;180,6;0,0000;18:00;04.12.2020
;173,6;0,0000;18:30;04.12.2020
;167,6;0,0000;19:00;04.12.2020
;160,6;0,0000;19:30;04.12.2020
;151,6;0,0000;20:00;04.12.2020
;141,6;0,0000;20:30;04.12.2020
;137,6;0,0000;21:00;04.12.2020
;132,6;0,0000;21:30;04.12.2020
;128,6;0,0000;22:00;04.12.2020
;118,6;0,0000;22:30;04.12.2020
;115,6;0,0000;23:00;04.12.2020
;114,6;0,0000;23:30;04.12.2020
;112,6;0,0000;00:00;05.12.2020
;111,6;0,0000;00:30;05.12.2020
;105,6;0,0000;01:00;05.12.2020
;103,6;0,0000;01:30;05.12.2020
;104,6;0,0000;02:00;05.12.2020
;103,6;0,0000;02:30;05.12.2020
;104,6;0,0000;03:00;05.12.2020
;103,6;0,0000;03:30;05.12.2020
;105,6;0,0000;04:00;05.12.2020
;103,6;0,0000;04:30;05.12.2020
;106,6;0,0000;05:00;05.12.2020
;114,6;0,0000;05:30;05.12.2020
;116,6;0,0000;06:00;05.12.2020
;118,6;0,0000;06:30;05.12.2020
;124,6;0,0000;07:00;05.12.2020
;135,6;0,0000;07:30;05.12.2020
;146,6;0,0000;08:00;05.12.2020
;152,6;0,0000;08:30;05.12.2020
;169,6;0,0000;09:00;05.12.2020
;175,6;0,0000;09:30;05.12.2020
;178,6;0,0000;10:00;05.12.2020
;175,6;0,0000;10:30;05.12.2020
;177,6;0,0000;11:00;05.12.2020
;174,6;0,0000;11:30;05.12.2020
;173,6;0,0000;12:00;05.12.2020
;174,6;0,0000;12:30;05.12.2020
;175,6;0,0000;13:00;05.12.2020
;174,6;0,0000;13:30;05.12.2020
;174,6;0,0000;14:00;05.12.2020
;172,6;0,0000;14:30;05.12.2020
;172,6;0,0000;15:00;05.12.2020
;172,6;0,0000;15:30;05.12.2020
;174,6;0,0000;16:00;05.12.2020
;181,6;0,0000;16:30;05.12.2020
;184,6;0,0000;17:00;05.12.2020
;183,6;0,0000;17:30;05.12.2020
;177,6;0,0000;18:00;05.12.2020
;169,6;0,0000;18:30;05.12.2020
;162,6;0,0000;19:00;05.12.2020
;154,6;0,0000;19:30;05.12.2020
;144,6;0,0000;20:00;05.12.2020
;135,6;0,0000;20:30;05.12.2020
;134,6;0,0000;21:00;05.12.2020
;129,6;0,0000;21:30;05.12.2020
;126,6;0,0000;22:00;05.12.2020
;121,6;0,0000;22:30;05.12.2020
;121,6;0,0000;23:00;05.12.2020
;115,6;0,0000;23:30;05.12.2020
;114,6;0,0000;00:00;06.12.2020
;112,6;0,0000;00:30;06.12.2020
;106,6;0,0000;01:00;06.12.2020
;105,6;0,0000;01:30;06.12.2020
;106,6;0,0000;02:00;06.12.2020
;104,6;0,0000;02:30;06.12.2020
;105,6;0,0000;03:00;06.12.2020
;104,6;0,0000;03:30;06.12.2020
;105,6;0,0000;04:00;06.12.2020
;104,6;0,0000;04:30;06.12.2020
;106,6;0,0000;05:00;06.12.2020
;108,6;0,0000;05:30;06.12.2020
;112,6;0,0000;06:00;06.12.2020
;119,6;0,0000;06:30;06.12.2020
;126,6;0,0000;07:00;06.12.2020
;133,6;0,0000;07:30;06.12.2020
;147,6;0,0000;08:00;06.12.2020
;151,6;0,0000;08:30;06.12.2020
;166,6;0,0000;09:00;06.12.2020
;174,6;0,0000;09:30;06.12.2020
;176,6;0,0000;10:00;06.12.2020
;174,6;0,0000;10:30;06.12.2020
;176,6;0,0000;11:00;06.12.2020
