n;P+;R+;Time;Date
;0,1103036;0,0010;00:30;20.02.2020
;0,1093036;0,0005;01:00;20.02.2020
;0,1058036;0,0005;01:30;20.02.2020
;0,1063036;0,0010;02:00;20.02.2020
;0,1068036;0,0005;02:30;20.02.2020
;0,1088036;0,0005;03:00;20.02.2020
;0,1108036;0,0005;03:30;20.02.2020
;0,1208036;0,0010;04:00;20.02.2020
;0,1158036;0,0010;04:30;20.02.2020
;0,1183036;0,0005;05:00;20.02.2020
;0,1348036;0,0000;05:30;20.02.2020
;0,2158036;0,0020;06:00;20.02.2020
;0,2438036;0,0040;06:30;20.02.2020
;0,2348036;0,0025;07:00;20.02.2020
;0,2473036;0,0010;07:30;20.02.2020
;0,2758036;0,0000;08:00;20.02.2020
;0,2883036;0,0170;08:30;20.02.2020
;0,3168036;0,0255;09:00;20.02.2020
;0,3078036;0,0295;09:30;20.02.2020
;0,3103036;0,0325;10:00;20.02.2020
;0,3028036;0,0290;10:30;20.02.2020
;0,2953036;0,0310;11:00;20.02.2020
;0,2893036;0,0245;11:30;20.02.2020
;0,2943036;0,0170;12:00;20.02.2020
;0,3038036;0,0225;12:30;20.02.2020
;0,2923036;0,0360;13:00;20.02.2020
;0,2823036;0,0380;13:30;20.02.2020
;0,2803036;0,0450;14:00;20.02.2020
;0,2788036;0,0410;14:30;20.02.2020
;0,2603036;0,0355;15:00;20.02.2020
;0,2563036;0,0285;15:30;20.02.2020
;0,2533036;0,0135;16:00;20.02.2020
;0,2528036;0,0145;16:30;20.02.2020
;0,2493036;0,0165;17:00;20.02.2020
;0,2388036;0,0115;17:30;20.02.2020
;0,2323036;0,0045;18:00;20.02.2020
;0,2253036;0,0015;18:30;20.02.2020
;0,2183036;0,0015;19:00;20.02.2020
;0,2093036;0,0000;19:30;20.02.2020
;0,2048036;0,0000;20:00;20.02.2020
;0,1988036;0,0000;20:30;20.02.2020
;0,1978036;0,0000;21:00;20.02.2020
;0,1863036;0,0005;21:30;20.02.2020
;0,1643036;0,0000;22:00;20.02.2020
;0,1463036;0,0000;22:30;20.02.2020
;0,1323036;0,0000;23:00;20.02.2020
;0,1283036;0,0005;23:30;20.02.2020
;0,1258036;0,0000;00:00;20.02.2020
;0,1258036;0,0000;00:30;21.02.2020
;0,1243036;0,0000;01:00;21.02.2020
;0,1248036;0,0010;01:30;21.02.2020
;0,1233036;0,0005;02:00;21.02.2020
