n;P+;R+;Time;Date
;0,258;0,000;00:30;28.02.2020
;0,257;0,000;01:00;28.02.2020
;0,253;0,000;01:30;28.02.2020
;0,242;0,000;02:00;28.02.2020
;0,231;0,000;02:30;28.02.2020
;0,225;0,000;03:00;28.02.2020
;0,224;0,000;03:30;28.02.2020
;0,225;0,000;04:00;28.02.2020
;0,231;0,000;04:30;28.02.2020
;0,242;0,000;05:00;28.02.2020
;0,250;0,000;05:30;28.02.2020
;0,251;0,000;06:00;28.02.2020
;0,267;0,000;06:30;28.02.2020
;0,264;0,000;07:00;28.02.2020
;0,271;0,000;07:30;28.02.2020
;0,262;0,000;08:00;28.02.2020
;0,282;0,000;08:30;28.02.2020
;0,303;0,000;09:00;28.02.2020
;0,308;0,000;09:30;28.02.2020
;0,318;0,000;10:00;28.02.2020
;0,316;0,000;10:30;28.02.2020
;0,317;0,000;11:00;28.02.2020
;0,323;0,000;11:30;28.02.2020
;0,318;0,000;12:00;28.02.2020
;0,314;0,000;12:30;28.02.2020
;0,315;0,000;13:00;28.02.2020
;0,321;0,000;13:30;28.02.2020
;0,317;0,000;14:00;28.02.2020
;0,314;0,000;14:30;28.02.2020
;0,313;0,000;15:00;28.02.2020
;0,311;0,000;15:30;28.02.2020
;0,308;0,000;16:00;28.02.2020
;0,291;0,000;16:30;28.02.2020
;0,279;0,000;17:00;28.02.2020
;0,279;0,000;17:30;28.02.2020
;0,283;0,000;18:00;28.02.2020
;0,263;0,000;18:30;28.02.2020
;0,254;0,000;19:00;28.02.2020
;0,247;0,000;19:30;28.02.2020
;0,242;0,000;20:00;28.02.2020
;0,239;0,000;20:30;28.02.2020
;0,228;0,000;21:00;28.02.2020
;0,226;0,000;21:30;28.02.2020
;0,222;0,000;22:00;28.02.2020
;0,219;0,000;22:30;28.02.2020
;0,229;0,000;23:00;28.02.2020
;0,228;0,000;23:30;28.02.2020
;0,231;0,000;00:00;28.02.2020
;0,238;0,000;00:30;29.02.2020
;0,230;0,000;01:00;29.02.2020
;0,228;0,000;01:30;29.02.2020
;0,219;0,000;02:00;29.02.2020
;0,215;0,000;02:30;29.02.2020
;0,217;0,000;03:00;29.02.2020
;0,217;0,000;03:30;29.02.2020
;0,225;0,000;04:00;29.02.2020
;0,233;0,000;04:30;29.02.2020
;0,231;0,000;05:00;29.02.2020
;0,235;0,000;05:30;29.02.2020
;0,234;0,000;06:00;29.02.2020
;0,232;0,000;06:30;29.02.2020
;0,230;0,000;07:00;29.02.2020
;0,207;0,000;07:30;29.02.2020
;0,205;0,000;08:00;29.02.2020
;0,203;0,000;08:30;29.02.2020
;0,200;0,000;09:00;29.02.2020
;0,211;0,000;09:30;29.02.2020
;0,206;0,000;10:00;29.02.2020
;0,205;0,000;10:30;29.02.2020
;0,208;0,000;11:00;29.02.2020
;0,197;0,000;11:30;29.02.2020
;0,198;0,000;12:00;29.02.2020
;0,222;0,000;12:30;29.02.2020
;0,227;0,000;13:00;29.02.2020
;0,228;0,000;13:30;29.02.2020
;0,230;0,000;14:00;29.02.2020
;0,235;0,000;14:30;29.02.2020
;0,230;0,000;15:00;29.02.2020
;0,227;0,000;15:30;29.02.2020
;0,225;0,000;16:00;29.02.2020
;0,220;0,000;16:30;29.02.2020
;0,219;0,000;17:00;29.02.2020
;0,226;0,000;17:30;29.02.2020
;0,241;0,000;18:00;29.02.2020
;0,239;0,000;18:30;29.02.2020
;0,240;0,000;19:00;29.02.2020
;0,256;0,000;19:30;29.02.2020
;0,256;0,000;20:00;29.02.2020
;0,255;0,000;20:30;29.02.2020
;0,251;0,000;21:00;29.02.2020
;0,251;0,000;21:30;29.02.2020
;0,245;0,000;22:00;29.02.2020
;0,243;0,000;22:30;29.02.2020
;0,245;0,000;23:00;29.02.2020
;0,237;0,000;23:30;29.02.2020
;0,231;0,000;00:00;29.02.2020
