n;P+;R+;Time;Date
2;0,0681;0,0000;00:30;01.08.2020
3;0,0698;0,0000;01:00;01.08.2020
4;0,0687;0,0000;01:30;01.08.2020
5;0,0686;0,0000;02:00;01.08.2020
6;0,0689;0,0000;02:30;01.08.2020
7;0,0682;0,0000;03:00;01.08.2020
8;0,0686;0,0000;03:30;01.08.2020
9;0,0697;0,0000;04:00;01.08.2020
10;0,0687;0,0000;04:30;01.08.2020
11;0,0670;0,0000;05:00;01.08.2020
12;0,0653;0,0000;05:30;01.08.2020
13;0,0649;0,0000;06:00;01.08.2020
14;0,0654;0,0000;06:30;01.08.2020
15;0,0678;0,0000;07:00;01.08.2020
16;0,0680;0,0000;07:30;01.08.2020
17;0,0703;0,0000;08:00;01.08.2020
18;0,0698;0,0000;08:30;01.08.2020
19;0,0682;0,0000;09:00;01.08.2020
20;0,0699;0,0000;09:30;01.08.2020
21;0,0718;0,0000;10:00;01.08.2020
22;0,0701;0,0000;10:30;01.08.2020
23;0,0692;0,0000;11:00;01.08.2020
24;0,0720;0,0000;11:30;01.08.2020
25;0,0724;0,0000;12:00;01.08.2020
26;0,0723;0,0000;12:30;01.08.2020
27;0,0695;0,0000;13:00;01.08.2020
28;0,0720;0,0000;13:30;01.08.2020
29;0,0722;0,0000;14:00;01.08.2020
30;0,0716;0,0000;14:30;01.08.2020
31;0,0707;0,0000;15:00;01.08.2020
32;0,0722;0,0000;15:30;01.08.2020
33;0,0716;0,0000;16:00;01.08.2020
34;0,0710;0,0000;16:30;01.08.2020
35;0,0681;0,0000;17:00;01.08.2020
36;0,0681;0,0000;17:30;01.08.2020
37;0,0671;0,0000;18:00;01.08.2020
38;0,0677;0,0000;18:30;01.08.2020
39;0,0680;0,0000;19:00;01.08.2020
40;0,0682;0,0000;19:30;01.08.2020
41;0,0684;0,0000;20:00;01.08.2020
42;0,0684;0,0000;20:30;01.08.2020
43;0,0688;0,0000;21:00;01.08.2020
44;0,0688;0,0000;21:30;01.08.2020
45;0,0692;0,0000;22:00;01.08.2020
46;0,0694;0,0000;22:30;01.08.2020
47;0,0683;0,0000;23:00;01.08.2020
48;0,0677;0,0000;23:30;01.08.2020
49;0,0672;0,0000;00:00;02.08.2020
50;0,0671;0,0000;00:30;02.08.2020
51;0,0675;0,0000;01:00;02.08.2020
52;0,0668;0,0000;01:30;02.08.2020
53;0,0635;0,0000;02:00;02.08.2020
54;0,0623;0,0000;02:30;02.08.2020
55;0,0617;0,0000;03:00;02.08.2020
56;0,0620;0,0000;03:30;02.08.2020
57;0,0627;0,0000;04:00;02.08.2020
58;0,0618;0,0000;04:30;02.08.2020
59;0,0622;0,0000;05:00;02.08.2020
60;0,0588;0,0000;05:30;02.08.2020
61;0,0582;0,0000;06:00;02.08.2020
62;0,0584;0,0000;06:30;02.08.2020
63;0,0598;0,0000;07:00;02.08.2020
64;0,0615;0,0000;07:30;02.08.2020
65;0,0666;0,0000;08:00;02.08.2020
66;0,0646;0,0000;08:30;02.08.2020
67;0,0658;0,0000;09:00;02.08.2020
