№;P+, кВт;R+, кВар;Время;Дата
1;0.3620;0.1000;00:30;01.09.2019
2;0.3630;0.1000;01:00;01.09.2019
3;0.3620;0.1030;01:30;01.09.2019
4;0.3640;0.1020;02:00;01.09.2019
5;0.3620;0.1030;02:30;01.09.2019
6;0.3620;0.1040;03:00;01.09.2019
7;0.3620;0.1050;03:30;01.09.2019
8;0.3620;0.1050;04:00;01.09.2019
9;0.3610;0.1050;04:30;01.09.2019
10;0.3610;0.1060;05:00;01.09.2019
11;0.3700;0.1070;05:30;01.09.2019
12;0.3770;0.1080;06:00;01.09.2019
13;0.3780;0.1050;06:30;01.09.2019
14;0.3690;0.1070;07:00;01.09.2019
15;0.3620;0.1060;07:30;01.09.2019
16;0.3610;0.1040;08:00;01.09.2019
17;0.3460;0.1050;08:30;01.09.2019
18;0.3460;0.1030;09:00;01.09.2019
19;0.3540;0.1030;09:30;01.09.2019
20;0.3450;0.1010;10:00;01.09.2019
21;0.3480;0.1010;10:30;01.09.2019
22;0.3440;0.1040;11:00;01.09.2019
23;0.3430;0.1030;11:30;01.09.2019
24;0.3450;0.1000;12:00;01.09.2019
25;0.3460;0.1030;12:30;01.09.2019
26;0.3540;0.1000;13:00;01.09.2019
27;0.3500;0.1000;13:30;01.09.2019
28;0.3520;0.1000;14:00;01.09.2019
29;0.3440;0.1020;14:30;01.09.2019
30;0.3460;0.1010;15:00;01.09.2019
31;0.3480;0.1010;15:30;01.09.2019
32;0.3480;0.0980;16:00;01.09.2019
33;0.3470;0.0950;16:30;01.09.2019
34;0.3480;0.0950;17:00;01.09.2019
35;0.3460;0.1000;17:30;01.09.2019
36;0.3470;0.1040;18:00;01.09.2019
37;0.3460;0.1020;18:30;01.09.2019
38;0.3470;0.1040;19:00;01.09.2019
39;0.3450;0.1030;19:30;01.09.2019
40;0.3480;0.1000;20:00;01.09.2019
41;0.3700;0.0970;20:30;01.09.2019
42;0.3630;0.0980;21:00;01.09.2019
43;0.3680;0.0980;21:30;01.09.2019
44;0.3630;0.0970;22:00;01.09.2019
45;0.3640;0.0970;22:30;01.09.2019
46;0.3630;0.0990;23:00;01.09.2019
47;0.3640;0.1010;23:30;01.09.2019
48;0.3640;0.1010;00:00;01.09.2019
49;0.3590;0.1030;00:30;02.09.2019
50;0.3620;0.1050;01:00;02.09.2019
51;0.3610;0.1060;01:30;02.09.2019
52;0.3590;0.1070;02:00;02.09.2019
53;0.3590;0.1050;02:30;02.09.2019
54;0.3600;0.1070;03:00;02.09.2019
55;0.3600;0.1050;03:30;02.09.2019
56;0.3600;0.1070;04:00;02.09.2019
57;0.3590;0.1060;04:30;02.09.2019
58;0.3590;0.1070;05:00;02.09.2019
59;0.3670;0.1060;05:30;02.09.2019
60;0.3730;0.1090;06:00;02.09.2019
61;0.3760;0.1090;06:30;02.09.2019
62;0.3660;0.1080;07:00;02.09.2019
63;0.3660;0.1050;07:30;02.09.2019
64;0.3560;0.1050;08:00;02.09.2019
65;0.4560;0.1000;08:30;02.09.2019
66;0.4770;0.0990;09:00;02.09.2019
67;0.5020;0.0970;09:30;02.09.2019
68;0.5070;0.0950;10:00;02.09.2019
69;0.5310;0.0930;10:30;02.09.2019
70;0.5560;0.0910;11:00;02.09.2019
71;0.5460;0.0900;11:30;02.09.2019
72;0.5490;0.0920;12:00;02.09.2019
73;0.5520;0.0910;12:30;02.09.2019
74;0.5480;0.0900;13:00;02.09.2019
75;0.5540;0.0920;13:30;02.09.2019
76;0.5540;0.0910;14:00;02.09.2019
77;0.5460;0.0920;14:30;02.09.2019
78;0.5500;0.0910;15:00;02.09.2019
79;0.5480;0.0900;15:30;02.09.2019
80;0.5400;0.0910;16:00;02.09.2019
81;0.5480;0.0910;16:30;02.09.2019
82;0.5450;0.0910;17:00;02.09.2019
83;0.5470;0.0930;17:30;02.09.2019
84;0.5400;0.0930;18:00;02.09.2019
85;0.5390;0.0930;18:30;02.09.2019
86;0.5370;0.0940;19:00;02.09.2019
87;0.5330;0.0950;19:30;02.09.2019
88;0.5290;0.0920;20:00;02.09.2019
89;0.5160;0.0930;20:30;02.09.2019
90;0.4950;0.0940;21:00;02.09.2019
91;0.3870;0.0990;21:30;02.09.2019
92;0.3650;0.0990;22:00;02.09.2019
93;0.3640;0.1020;22:30;02.09.2019
94;0.3640;0.1030;23:00;02.09.2019
95;0.3610;0.1010;23:30;02.09.2019
96;0.3600;0.1020;00:00;02.09.2019
97;0.3610;0.1050;00:30;03.09.2019
98;0.3630;0.1040;01:00;03.09.2019
99;0.3610;0.1040;01:30;03.09.2019
100;0.3620;0.1060;02:00;03.09.2019
101;0.3610;0.1050;02:30;03.09.2019
102;0.3620;0.1040;03:00;03.09.2019
103;0.3630;0.1050;03:30;03.09.2019
104;0.3660;0.1040;04:00;03.09.2019
105;0.3600;0.1040;04:30;03.09.2019
106;0.3630;0.1060;05:00;03.09.2019
107;0.3690;0.1050;05:30;03.09.2019
108;0.3770;0.1040;06:00;03.09.2019
109;0.3820;0.1080;06:30;03.09.2019
110;0.3680;0.1050;07:00;03.09.2019
111;0.3610;0.1030;07:30;03.09.2019
112;0.3540;0.1020;08:00;03.09.2019
113;0.4520;0.1010;08:30;03.09.2019
114;0.4810;0.1000;09:00;03.09.2019
115;0.5010;0.0970;09:30;03.09.2019
116;0.5220;0.0950;10:00;03.09.2019
117;0.5280;0.0960;10:30;03.09.2019
118;0.5360;0.0960;11:00;03.09.2019
119;0.5330;0.0940;11:30;03.09.2019
120;0.5430;0.0940;12:00;03.09.2019
121;0.5500;0.0930;12:30;03.09.2019
122;0.5420;0.0920;13:00;03.09.2019
123;0.5590;0.0920;13:30;03.09.2019
124;0.5570;0.0920;14:00;03.09.2019
125;0.5470;0.0920;14:30;03.09.2019
126;0.5460;0.0910;15:00;03.09.2019
127;0.5440;0.0930;15:30;03.09.2019
128;0.5450;0.0930;16:00;03.09.2019
129;0.5460;0.0950;16:30;03.09.2019
130;0.5430;0.0950;17:00;03.09.2019
131;0.5400;0.0950;17:30;03.09.2019
132;0.5360;0.0970;18:00;03.09.2019
133;0.5380;0.0970;18:30;03.09.2019
134;0.5310;0.0960;19:00;03.09.2019
135;0.5230;0.0970;19:30;03.09.2019
136;0.5260;0.0940;20:00;03.09.2019
137;0.5280;0.0950;20:30;03.09.2019
138;0.5120;0.0940;21:00;03.09.2019
139;0.4970;0.0950;21:30;03.09.2019
140;0.3720;0.0990;22:00;03.09.2019
141;0.3660;0.1000;22:30;03.09.2019
142;0.3650;0.1000;23:00;03.09.2019
143;0.3640;0.0960;23:30;03.09.2019
144;0.3620;0.1010;00:00;03.09.2019
145;0.3630;0.1020;00:30;04.09.2019
146;0.3640;0.1020;01:00;04.09.2019
147;0.3630;0.1030;01:30;04.09.2019
148;0.3610;0.1030;02:00;04.09.2019
149;0.3640;0.1050;02:30;04.09.2019
150;0.3630;0.1040;03:00;04.09.2019
151;0.3590;0.1030;03:30;04.09.2019
152;0.3620;0.1030;04:00;04.09.2019
153;0.3620;0.1020;04:30;04.09.2019
154;0.3630;0.1040;05:00;04.09.2019
155;0.3700;0.1040;05:30;04.09.2019
156;0.3780;0.1010;06:00;04.09.2019
157;0.3770;0.1000;06:30;04.09.2019
158;0.3690;0.1010;07:00;04.09.2019
159;0.3590;0.0980;07:30;04.09.2019
160;0.3500;0.0990;08:00;04.09.2019
161;0.4480;0.1000;08:30;04.09.2019
162;0.4860;0.0980;09:00;04.09.2019
163;0.5110;0.0970;09:30;04.09.2019
164;0.5250;0.0950;10:00;04.09.2019
165;0.5390;0.0940;10:30;04.09.2019
166;0.5480;0.0920;11:00;04.09.2019
167;0.5520;0.0920;11:30;04.09.2019
168;0.5650;0.0920;12:00;04.09.2019
169;0.5730;0.0910;12:30;04.09.2019
170;0.5560;0.0910;13:00;04.09.2019
171;0.5600;0.0900;13:30;04.09.2019
172;0.5700;0.0910;14:00;04.09.2019
173;0.5400;0.0920;14:30;04.09.2019
174;0.5380;0.0940;15:00;04.09.2019
175;0.5670;0.0920;15:30;04.09.2019
176;0.5730;0.0930;16:00;04.09.2019
177;0.5630;0.0940;16:30;04.09.2019
178;0.5730;0.0950;17:00;04.09.2019
179;0.5640;0.0950;17:30;04.09.2019
180;0.5590;0.0970;18:00;04.09.2019
181;0.5560;0.0970;18:30;04.09.2019
182;0.5500;0.0980;19:00;04.09.2019
183;0.5490;0.0960;19:30;04.09.2019
184;0.5500;0.0940;20:00;04.09.2019
185;0.5420;0.0950;20:30;04.09.2019
186;0.5110;0.0950;21:00;04.09.2019
187;0.3830;0.1010;21:30;04.09.2019
188;0.3720;0.1020;22:00;04.09.2019
189;0.3720;0.1040;22:30;04.09.2019
190;0.3720;0.1060;23:00;04.09.2019
191;0.3700;0.1030;23:30;04.09.2019
192;0.3700;0.1050;00:00;04.09.2019
193;0.3690;0.1050;00:30;05.09.2019
194;0.3700;0.1060;01:00;05.09.2019
195;0.3700;0.1070;01:30;05.09.2019
196;0.3710;0.1060;02:00;05.09.2019
197;0.3710;0.1060;02:30;05.09.2019
198;0.3720;0.1040;03:00;05.09.2019
199;0.3690;0.1040;03:30;05.09.2019
200;0.3690;0.1040;04:00;05.09.2019
201;0.3690;0.1050;04:30;05.09.2019
202;0.3670;0.1050;05:00;05.09.2019
203;0.3750;0.1060;05:30;05.09.2019
204;0.3830;0.1070;06:00;05.09.2019
205;0.3890;0.1070;06:30;05.09.2019
206;0.3760;0.1050;07:00;05.09.2019
207;0.3660;0.1040;07:30;05.09.2019
208;0.3620;0.1020;08:00;05.09.2019
209;0.4710;0.1000;08:30;05.09.2019
210;0.5080;0.0970;09:00;05.09.2019
211;0.5310;0.0930;09:30;05.09.2019
212;0.5450;0.0920;10:00;05.09.2019
213;0.5450;0.0910;10:30;05.09.2019
214;0.5620;0.0900;11:00;05.09.2019
215;0.5590;0.0900;11:30;05.09.2019
216;0.5710;0.0900;12:00;05.09.2019
217;0.5830;0.0890;12:30;05.09.2019
218;0.5710;0.0900;13:00;05.09.2019
219;0.5790;0.0900;13:30;05.09.2019
220;0.5790;0.0890;14:00;05.09.2019
221;0.5810;0.0890;14:30;05.09.2019
222;0.5690;0.0890;15:00;05.09.2019
223;0.5900;0.0910;15:30;05.09.2019
224;0.5840;0.0900;16:00;05.09.2019
225;0.5780;0.0900;16:30;05.09.2019
226;0.5800;0.0920;17:00;05.09.2019
227;0.5810;0.0930;17:30;05.09.2019
228;0.5680;0.0950;18:00;05.09.2019
229;0.5650;0.0950;18:30;05.09.2019
230;0.5590;0.0960;19:00;05.09.2019
231;0.5460;0.0960;19:30;05.09.2019
232;0.5370;0.0930;20:00;05.09.2019
233;0.5330;0.0930;20:30;05.09.2019
234;0.5120;0.0950;21:00;05.09.2019
235;0.4430;0.0980;21:30;05.09.2019
236;0.3920;0.1010;22:00;05.09.2019
237;0.3710;0.1040;22:30;05.09.2019
238;0.3700;0.1040;23:00;05.09.2019
239;0.3690;0.1050;23:30;05.09.2019
240;0.3710;0.1030;00:00;05.09.2019
241;0.3700;0.1050;00:30;06.09.2019
242;0.3720;0.1060;01:00;06.09.2019
243;0.3690;0.1060;01:30;06.09.2019
244;0.3700;0.1050;02:00;06.09.2019
245;0.3700;0.1040;02:30;06.09.2019
246;0.3710;0.1030;03:00;06.09.2019
247;0.3690;0.1040;03:30;06.09.2019
248;0.3690;0.1040;04:00;06.09.2019
249;0.3690;0.1040;04:30;06.09.2019
250;0.3720;0.1070;05:00;06.09.2019
251;0.3760;0.1040;05:30;06.09.2019
252;0.3800;0.1080;06:00;06.09.2019
253;0.3830;0.1070;06:30;06.09.2019
254;0.3720;0.1070;07:00;06.09.2019
255;0.3670;0.1070;07:30;06.09.2019
256;0.3610;0.1030;08:00;06.09.2019
257;0.4590;0.1000;08:30;06.09.2019
258;0.5000;0.0990;09:00;06.09.2019
259;0.5170;0.0970;09:30;06.09.2019
260;0.5330;0.0950;10:00;06.09.2019
261;0.5450;0.0940;10:30;06.09.2019
262;0.5320;0.0970;11:00;06.09.2019
263;0.5360;0.0970;11:30;06.09.2019
264;0.5420;0.0960;12:00;06.09.2019
265;0.5480;0.0960;12:30;06.09.2019
266;0.5480;0.0960;13:00;06.09.2019
267;0.5500;0.0950;13:30;06.09.2019
268;0.5460;0.0950;14:00;06.09.2019
269;0.5440;0.0950;14:30;06.09.2019
270;0.5410;0.0940;15:00;06.09.2019
271;0.5480;0.0950;15:30;06.09.2019
272;0.5480;0.0940;16:00;06.09.2019
273;0.5550;0.0960;16:30;06.09.2019
274;0.5550;0.0960;17:00;06.09.2019
275;0.5440;0.0960;17:30;06.09.2019
276;0.5450;0.0980;18:00;06.09.2019
277;0.5460;0.0980;18:30;06.09.2019
278;0.5490;0.0970;19:00;06.09.2019
279;0.5470;0.0960;19:30;06.09.2019
280;0.5480;0.0960;20:00;06.09.2019
281;0.5430;0.0950;20:30;06.09.2019
282;0.5070;0.0970;21:00;06.09.2019
283;0.4510;0.0990;21:30;06.09.2019
284;0.3700;0.1020;22:00;06.09.2019
285;0.3690;0.0960;22:30;06.09.2019
286;0.3680;0.0940;23:00;06.09.2019
287;0.3660;0.0930;23:30;06.09.2019
288;0.3670;0.0960;00:00;06.09.2019
289;0.3680;0.0960;00:30;07.09.2019
290;0.3670;0.0970;01:00;07.09.2019
291;0.3660;0.0970;01:30;07.09.2019
292;0.3650;0.0980;02:00;07.09.2019
293;0.3680;0.0970;02:30;07.09.2019
294;0.3660;0.0960;03:00;07.09.2019
295;0.3650;0.0960;03:30;07.09.2019
296;0.3640;0.0960;04:00;07.09.2019
297;0.3650;0.0970;04:30;07.09.2019
298;0.3660;0.0970;05:00;07.09.2019
299;0.3720;0.0950;05:30;07.09.2019
300;0.3750;0.0910;06:00;07.09.2019
301;0.3760;0.0970;06:30;07.09.2019
302;0.3690;0.0960;07:00;07.09.2019
303;0.3600;0.0960;07:30;07.09.2019
304;0.3520;0.0980;08:00;07.09.2019
305;0.3500;0.0980;08:30;07.09.2019
306;0.4530;0.0960;09:00;07.09.2019
307;0.4900;0.0940;09:30;07.09.2019
308;0.4980;0.0980;10:00;07.09.2019
309;0.4980;0.0950;10:30;07.09.2019
310;0.5030;0.0940;11:00;07.09.2019
311;0.5050;0.0930;11:30;07.09.2019
312;0.5160;0.0920;12:00;07.09.2019
313;0.5180;0.0930;12:30;07.09.2019
314;0.5180;0.0930;13:00;07.09.2019
315;0.5250;0.0930;13:30;07.09.2019
316;0.5240;0.0930;14:00;07.09.2019
317;0.5290;0.0930;14:30;07.09.2019
318;0.5230;0.0930;15:00;07.09.2019
319;0.5170;0.0920;15:30;07.09.2019
320;0.5180;0.0930;16:00;07.09.2019
321;0.5180;0.0930;16:30;07.09.2019
322;0.5060;0.0930;17:00;07.09.2019
323;0.4950;0.0950;17:30;07.09.2019
324;0.4760;0.0960;18:00;07.09.2019
325;0.4480;0.0960;18:30;07.09.2019
326;0.3510;0.0960;19:00;07.09.2019
327;0.3520;0.0960;19:30;07.09.2019
328;0.3530;0.0930;20:00;07.09.2019
329;0.3660;0.0940;20:30;07.09.2019
330;0.3660;0.0930;21:00;07.09.2019
331;0.3650;0.0940;21:30;07.09.2019
332;0.3660;0.0940;22:00;07.09.2019
333;0.3660;0.0940;22:30;07.09.2019
334;0.3660;0.0950;23:00;07.09.2019
335;0.3660;0.0940;23:30;07.09.2019
336;0.3650;0.0950;00:00;07.09.2019
337;0.3640;0.0960;00:30;08.09.2019
338;0.3650;0.0960;01:00;08.09.2019
339;0.3640;0.0970;01:30;08.09.2019
340;0.3660;0.1000;02:00;08.09.2019
341;0.3640;0.0990;02:30;08.09.2019
