n;P+;R+;Time;Date;;;;;;;;;
1;1,5;0,029;00:30;01.12.2019;;;;;;;;;
2;1,552;0,08;01:00;01.12.2019;;;;;;;;;
3;1,585;0,072;01:30;01.12.2019;;;;;;;;;
4;1,599;0,091;02:00;01.12.2019;;;;;;;;;
5;1,548;0,083;02:30;01.12.2019;;;;;;;;;
6;1,5;0,053;03:00;01.12.2019;;;;;;;;;
7;1,506;0,061;03:30;01.12.2019;;;;;;;;;
8;1,527;0,031;04:00;01.12.2019;;;;;;;;;
9;1,543;0,04;04:30;01.12.2019;;;;;;;;;
10;1,538;0,046;05:00;01.12.2019;;;;;;;;;
11;1,54;0,032;05:30;01.12.2019;;;;;;;;;
12;1,544;0,037;06:00;01.12.2019;;;;;;;;;
13;1,545;0,029;06:30;01.12.2019;;;;;;;;;
14;1,527;0,02;07:00;01.12.2019;;;;;;;;;
15;1,512;0,017;07:30;01.12.2019;;;;;;;;;
16;1,528;0,021;08:00;01.12.2019;;;;;;;;;
17;1,531;0,046;08:30;01.12.2019;;;;;;;;;
18;1,628;0,108;09:00;01.12.2019;;;;;;;;;
19;1,71;0,108;09:30;01.12.2019;;;;;;;;;
20;1,717;0,111;10:00;01.12.2019;;;;;;;;;
21;1,74;0,116;10:30;01.12.2019;;;;;;;;;
22;1,702;0,087;11:00;01.12.2019;;;;;;;;;
23;1,67;0,093;11:30;01.12.2019;;;;;;;;;
24;1,648;0,109;12:00;01.12.2019;;;;;;;;;
25;1,574;0,076;12:30;01.12.2019;;;;;;;;;
26;1,701;0,079;13:00;01.12.2019;;;;;;;;;
27;1,724;0,091;13:30;01.12.2019;;;;;;;;;
28;1,76;0,094;14:00;01.12.2019;;;;;;;;;
29;1,771;0,066;14:30;01.12.2019;;;;;;;;;
30;1,76;0,048;15:00;01.12.2019;;;;;;;;;
31;1,747;0,042;15:30;01.12.2019;;;;;;;;;
32;1,709;0,07;16:00;01.12.2019;;;;;;;;;
33;1,728;0,097;16:30;01.12.2019;;;;;;;;;
34;1,754;0,066;17:00;01.12.2019;;;;;;;;;
35;1,725;0,068;17:30;01.12.2019;;;;;;;;;
36;1,636;0,05;18:00;01.12.2019;;;;;;;;;
37;1,563;0,028;18:30;01.12.2019;;;;;;;;;
38;1,55;0,022;19:00;01.12.2019;;;;;;;;;
39;1,55;0,015;19:30;01.12.2019;;;;;;;;;
40;1,572;0,022;20:00;01.12.2019;;;;;;;;;
41;1,536;0,022;20:30;01.12.2019;;;;;;;;;
42;1,565;0,021;21:00;01.12.2019;;;;;;;;;
43;1,56;0,023;21:30;01.12.2019;;;;;;;;;
44;1,5;0,019;22:00;01.12.2019;;;;;;;;;
45;1,513;0,016;22:30;01.12.2019;;;;;;;;;
46;1,531;0,016;23:00;01.12.2019;;;;;;;;;
47;1,504;0,016;23:30;01.12.2019;;;;;;;;;
48;1,493;0,017;00:00;01.12.2019;;;;;;;;;
49;1,491;0,019;00:30;02.12.2019;;;;;;;;;
50;1,497;0,02;01:00;02.12.2019;;;;;;;;;
51;1,527;0,017;01:30;02.12.2019;;;;;;;;;
52;1,498;0,017;02:00;02.12.2019;;;;;;;;;
53;1,512;0,019;02:30;02.12.2019;;;;;;;;;
54;1,544;0,02;03:00;02.12.2019;;;;;;;;;
55;1,531;0,019;03:30;02.12.2019;;;;;;;;;
56;1,517;0,02;04:00;02.12.2019;;;;;;;;;
57;1,525;0,02;04:30;02.12.2019;;;;;;;;;
58;1,551;0,02;05:00;02.12.2019;;;;;;;;;
59;1,541;0,02;05:30;02.12.2019;;;;;;;;;
60;1,539;0,019;06:00;02.12.2019;;;;;;;;;
61;1,513;0,019;06:30;02.12.2019;;;;;;;;;
62;1,49;0,017;07:00;02.12.2019;;;;;;;;;
63;1,621;0,017;07:30;02.12.2019;;;;;;;;;
64;1,817;0,03;08:00;02.12.2019;;;;;;;;;
65;1,942;0,077;08:30;02.12.2019;;;;;;;;;
66;2,036;0,121;09:00;02.12.2019;;;;;;;;;
67;1,997;0,128;09:30;02.12.2019;;;;;;;;;
68;2,145;0,163;10:00;02.12.2019;;;;;;;;;
69;2,158;0,177;10:30;02.12.2019;;;;;;;;;
70;2,154;0,174;11:00;02.12.2019;;;;;;;;;
71;2,217;0,191;11:30;02.12.2019;;;;;;;;;
72;2,216;0,189;12:00;02.12.2019;;;;;;;;;
73;2,162;0,172;12:30;02.12.2019;;;;;;;;;
74;2,169;0,164;13:00;02.12.2019;;;;;;;;;
75;2,196;0,169;13:30;02.12.2019;;;;;;;;;
76;2,199;0,175;14:00;02.12.2019;;;;;;;;;
77;2,25;0,183;14:30;02.12.2019;;;;;;;;;
78;2,163;0,186;15:00;02.12.2019;;;;;;;;;
79;2,12;0,188;15:30;02.12.2019;;;;;;;;;
80;2,119;0,178;16:00;02.12.2019;;;;;;;;;
81;2,124;0,182;16:30;02.12.2019;;;;;;;;;
82;2,125;0,183;17:00;02.12.2019;;;;;;;;;
83;2,064;0,177;17:30;02.12.2019;;;;;;;;;
84;2,053;0,176;18:00;02.12.2019;;;;;;;;;
85;1,963;0,118;18:30;02.12.2019;;;;;;;;;
