№;P+, кВт;R+, кВар;Время;Дата
1;0.4650;0.0520;00:30;01.09.2019
2;0.4440;0.0480;01:00;01.09.2019
3;0.4630;0.0520;01:30;01.09.2019
4;0.4650;0.0470;02:00;01.09.2019
5;0.4520;0.0480;02:30;01.09.2019
6;0.4690;0.0460;03:00;01.09.2019
7;0.5160;0.0500;03:30;01.09.2019
8;0.4970;0.0460;04:00;01.09.2019
9;0.4730;0.0410;04:30;01.09.2019
10;0.4870;0.0440;05:00;01.09.2019
11;0.4690;0.0460;05:30;01.09.2019
12;0.4440;0.0450;06:00;01.09.2019
13;0.4110;0.0400;06:30;01.09.2019
14;0.3990;0.0390;07:00;01.09.2019
15;0.3910;0.0380;07:30;01.09.2019
16;0.3880;0.0360;08:00;01.09.2019
17;0.4060;0.0370;08:30;01.09.2019
18;0.4450;0.0370;09:00;01.09.2019
19;0.4900;0.0550;09:30;01.09.2019
20;0.5490;0.0620;10:00;01.09.2019
21;0.5560;0.0600;10:30;01.09.2019
22;0.5520;0.0580;11:00;01.09.2019
23;0.5500;0.0640;11:30;01.09.2019
24;0.5350;0.0620;12:00;01.09.2019
25;0.5020;0.0470;12:30;01.09.2019
26;0.4830;0.0480;13:00;01.09.2019
27;0.5100;0.0490;13:30;01.09.2019
28;0.5620;0.0680;14:00;01.09.2019
29;0.5300;0.0610;14:30;01.09.2019
30;0.5110;0.0620;15:00;01.09.2019
31;0.5010;0.0570;15:30;01.09.2019
32;0.4830;0.0530;16:00;01.09.2019
33;0.4860;0.0490;16:30;01.09.2019
34;0.4630;0.0450;17:00;01.09.2019
35;0.4460;0.0470;17:30;01.09.2019
36;0.4230;0.0390;18:00;01.09.2019
37;0.4060;0.0350;18:30;01.09.2019
38;0.3950;0.0360;19:00;01.09.2019
39;0.3820;0.0350;19:30;01.09.2019
40;0.3950;0.0370;20:00;01.09.2019
41;0.4140;0.0350;20:30;01.09.2019
42;0.4470;0.0410;21:00;01.09.2019
43;0.4560;0.0440;21:30;01.09.2019
44;0.4420;0.0420;22:00;01.09.2019
45;0.4970;0.0460;22:30;01.09.2019
46;0.5010;0.0460;23:00;01.09.2019
47;0.4930;0.0470;23:30;01.09.2019
48;0.4410;0.0420;00:00;02.09.2019
49;0.4280;0.0390;00:30;02.09.2019
50;0.4310;0.0390;01:00;02.09.2019
51;0.4610;0.0430;01:30;02.09.2019
52;0.4540;0.0450;02:00;02.09.2019
53;0.4550;0.0450;02:30;02.09.2019
54;0.4420;0.0420;03:00;02.09.2019
55;0.4310;0.0430;03:30;02.09.2019
56;0.4310;0.0410;04:00;02.09.2019
57;0.4430;0.0430;04:30;02.09.2019
58;0.4750;0.0390;05:00;02.09.2019
59;0.4640;0.0430;05:30;02.09.2019
60;0.4410;0.0420;06:00;02.09.2019
61;0.4320;0.0400;06:30;02.09.2019
62;0.4190;0.0350;07:00;02.09.2019
63;0.4240;0.0320;07:30;02.09.2019
64;0.4500;0.0270;08:00;02.09.2019
65;0.5270;0.0310;08:30;02.09.2019
66;0.5420;0.0460;09:00;02.09.2019
67;0.6120;0.0700;09:30;02.09.2019
68;0.6110;0.0760;10:00;02.09.2019
69;0.5970;0.0710;10:30;02.09.2019
70;0.5980;0.0710;11:00;02.09.2019
71;0.6220;0.0770;11:30;02.09.2019
72;0.5980;0.0670;12:00;02.09.2019
73;0.5260;0.0610;12:30;02.09.2019
74;0.5560;0.0550;13:00;02.09.2019
75;0.5920;0.0670;13:30;02.09.2019
76;0.6210;0.0730;14:00;02.09.2019
77;0.6040;0.0510;14:30;02.09.2019
78;0.6510;0.0760;15:00;02.09.2019
79;0.6430;0.0810;15:30;02.09.2019
80;0.6180;0.0790;16:00;02.09.2019
81;0.6450;0.0780;16:30;02.09.2019
82;0.6630;0.0770;17:00;02.09.2019
83;0.6400;0.0790;17:30;02.09.2019
84;0.6240;0.0700;18:00;02.09.2019
85;0.5950;0.0750;18:30;02.09.2019
86;0.5770;0.0690;19:00;02.09.2019
87;0.5320;0.0560;19:30;02.09.2019
88;0.5090;0.0420;20:00;02.09.2019
89;0.4880;0.0470;20:30;02.09.2019
90;0.4920;0.0390;21:00;02.09.2019
91;0.5160;0.0450;21:30;02.09.2019
92;0.5730;0.0570;22:00;02.09.2019
93;0.5530;0.0540;22:30;02.09.2019
94;0.5380;0.0530;23:00;02.09.2019
95;0.5020;0.0470;23:30;02.09.2019
96;0.4700;0.0450;00:00;03.09.2019
97;0.4800;0.0430;00:30;03.09.2019
98;0.5110;0.0500;01:00;03.09.2019
99;0.5520;0.0530;01:30;03.09.2019
100;0.4930;0.0430;02:00;03.09.2019
101;0.4910;0.0490;02:30;03.09.2019
102;0.4670;0.0460;03:00;03.09.2019
103;0.4910;0.0460;03:30;03.09.2019
104;0.4900;0.0470;04:00;03.09.2019
