№;P+, кВт;Q+, квар;Время;Дата
1;0.1280;0;00:30;01.03.2019
2;0.1210;0;01:00;01.03.2019
3;0.1220;0;01:30;01.03.2019
4;0.1240;0;02:00;01.03.2019
5;0.1250;0;02:30;01.03.2019
6;0.1220;0;03:00;01.03.2019
7;0.1230;0;03:30;01.03.2019
8;0.1190;0;04:00;01.03.2019
9;0.1190;0;04:30;01.03.2019
10;0.1210;0;05:00;01.03.2019
11;0.1200;0;05:30;01.03.2019
12;0.1210;0;06:00;01.03.2019
13;0.1240;0;06:30;01.03.2019
14;0.1360;0;07:00;01.03.2019
15;0.1590;0;07:30;01.03.2019
16;0.1910;0;08:00;01.03.2019
17;0.2540;0;08:30;01.03.2019
18;0.3160;0.0020;09:00;01.03.2019
19;0.3140;0.0010;09:30;01.03.2019
20;0.2680;0.0010;10:00;01.03.2019
21;0.2660;0.0010;10:30;01.03.2019
22;0.2610;0.0010;11:00;01.03.2019
23;0.2620;0.0010;11:30;01.03.2019
24;0.2570;0;12:00;01.03.2019
25;0.2500;0.0010;12:30;01.03.2019
26;0.2550;0.0010;13:00;01.03.2019
27;0.2460;0;13:30;01.03.2019
28;0.2550;0;14:00;01.03.2019
29;0.2590;0.0010;14:30;01.03.2019
30;0.2680;0.0010;15:00;01.03.2019
31;0.2580;0;15:30;01.03.2019
32;0.2620;0.0010;16:00;01.03.2019
33;0.2650;0.0010;16:30;01.03.2019
34;0.2480;0.0020;17:00;01.03.2019
35;0.2320;0.0020;17:30;01.03.2019
36;0.2500;0.0010;18:00;01.03.2019
37;0.2450;0.0020;18:30;01.03.2019
38;0.2390;0.0010;19:00;01.03.2019
39;0.2230;0.0010;19:30;01.03.2019
40;0.2080;0.0010;20:00;01.03.2019
41;0.1820;0;20:30;01.03.2019
42;0.1650;0;21:00;01.03.2019
43;0.1570;0;21:30;01.03.2019
44;0.1460;0;22:00;01.03.2019
45;0.1420;0;22:30;01.03.2019
46;0.1340;0;23:00;01.03.2019
47;0.1340;0.0010;23:30;01.03.2019
48;0.1280;0;00:00;02.03.2019
49;0.1250;0;00:30;02.03.2019
50;0.1190;0;01:00;02.03.2019
51;0.1180;0;01:30;02.03.2019
52;0.1180;0;02:00;02.03.2019
53;0.1190;0;02:30;02.03.2019
54;0.1180;0;03:00;02.03.2019
55;0.1150;0;03:30;02.03.2019
56;0.1170;0;04:00;02.03.2019
57;0.1170;0;04:30;02.03.2019
58;0.1160;0;05:00;02.03.2019
59;0.1160;0;05:30;02.03.2019
60;0.1160;0;06:00;02.03.2019
61;0.1200;0;06:30;02.03.2019
62;0.1260;0;07:00;02.03.2019
63;0.1220;0;07:30;02.03.2019
64;0.1260;0;08:00;02.03.2019
65;0.1230;0;08:30;02.03.2019
66;0.1250;0;09:00;02.03.2019
67;0.1270;0;09:30;02.03.2019
68;0.1310;0;10:00;02.03.2019
69;0.1340;0;10:30;02.03.2019
70;0.1310;0;11:00;02.03.2019
71;0.1370;0;11:30;02.03.2019
72;0.1380;0;12:00;02.03.2019
73;0.1370;0;12:30;02.03.2019
74;0.1350;0;13:00;02.03.2019
75;0.1340;0;13:30;02.03.2019
76;0.1270;0;14:00;02.03.2019
77;0.1360;0;14:30;02.03.2019
78;0.1330;0;15:00;02.03.2019
79;0.1390;0;15:30;02.03.2019
80;0.1430;0;16:00;02.03.2019
81;0.1440;0;16:30;02.03.2019
