n;P+;R+;Time;Date
1345;0,000;0,000;00:30;31.12.2019
1346;0,000;0,000;01:00;31.12.2019
1347;0,000;0,000;01:30;31.12.2019
1348;0,000;0,000;02:00;31.12.2019
1349;0,000;0,000;02:30;31.12.2019
1350;0,000;0,000;03:00;31.12.2019
1351;0,000;0,000;03:30;31.12.2019
1352;0,000;0,000;04:00;31.12.2019
1353;0,000;0,000;04:30;31.12.2019
1354;0,000;0,000;05:00;31.12.2019
1355;0,000;0,000;05:30;31.12.2019
1356;0,000;0,000;06:00;31.12.2019
1357;0,000;0,000;06:30;31.12.2019
1358;0,000;0,000;07:00;31.12.2019
1359;0,000;0,000;07:30;31.12.2019
1360;0,000;0,000;08:00;31.12.2019
1361;0,000;0,000;08:30;31.12.2019
1362;0,000;0,000;09:00;31.12.2019
1363;0,000;0,000;09:30;31.12.2019
1364;0,000;0,000;10:00;31.12.2019
1365;0,000;0,000;10:30;31.12.2019
1366;0,000;0,000;11:00;31.12.2019
1367;0,000;0,000;11:30;31.12.2019
1368;0,000;0,000;12:00;31.12.2019
1369;0,000;0,000;12:30;31.12.2019
1370;0,000;0,000;13:00;31.12.2019
1371;0,000;0,000;13:30;31.12.2019
1372;0,000;0,000;14:00;31.12.2019
1373;0,000;0,000;14:30;31.12.2019
1374;0,000;0,000;15:00;31.12.2019
1375;0,000;0,000;15:30;31.12.2019
1376;0,000;0,000;16:00;31.12.2019
1377;0,000;0,000;16:30;31.12.2019
1378;0,000;0,000;17:00;31.12.2019
1379;0,000;0,000;17:30;31.12.2019
1380;0,000;0,000;18:00;31.12.2019
1381;0,000;0,000;18:30;31.12.2019
1382;0,000;0,000;19:00;31.12.2019
1383;0,000;0,000;19:30;31.12.2019
1384;0,000;0,000;20:00;31.12.2019
1385;0,000;0,000;20:30;31.12.2019
1386;0,000;0,000;21:00;31.12.2019
1387;0,000;0,000;21:30;31.12.2019
1388;0,000;0,000;22:00;31.12.2019
1389;0,000;0,000;22:30;31.12.2019
1390;0,000;0,000;23:00;31.12.2019
1391;0,000;0,000;23:30;31.12.2019
1392;0,000;0,000;00:00;31.12.2019
