n;P+;R+;Time;Date
1345;0,0000;0,0000;00:30;04.01.2020
1346;0,0000;0,0000;01:00;04.01.2020
1347;0,0000;0,0000;01:30;04.01.2020
1348;0,0000;0,0000;02:00;04.01.2020
1349;0,0000;0,0000;02:30;04.01.2020
1350;0,0000;0,0000;03:00;04.01.2020
1351;0,0000;0,0000;03:30;04.01.2020
1352;0,0000;0,0000;04:00;04.01.2020
1353;0,0000;0,0000;04:30;04.01.2020
1354;0,0000;0,0000;05:00;04.01.2020
1355;0,0000;0,0000;05:30;04.01.2020
1356;0,0000;0,0000;06:00;04.01.2020
1357;0,0000;0,0000;06:30;04.01.2020
1358;0,0000;0,0000;07:00;04.01.2020
1359;0,0000;0,0000;07:30;04.01.2020
1360;0,0000;0,0000;08:00;04.01.2020
1361;0,0000;0,0000;08:30;04.01.2020
1362;0,0000;0,0000;09:00;04.01.2020
1363;0,0000;0,0000;09:30;04.01.2020
1364;0,0000;0,0000;10:00;04.01.2020
1365;0,0000;0,0000;10:30;04.01.2020
1366;0,0000;0,0000;11:00;04.01.2020
1367;0,0000;0,0000;11:30;04.01.2020
1368;0,0000;0,0000;12:00;04.01.2020
1369;0,0000;0,0000;12:30;04.01.2020
1370;0,0000;0,0000;13:00;04.01.2020
1371;0,0000;0,0000;13:30;04.01.2020
1372;0,0000;0,0000;14:00;04.01.2020
1373;0,0000;0,0000;14:30;04.01.2020
1374;0,0000;0,0000;15:00;04.01.2020
1375;0,0000;0,0000;15:30;04.01.2020
1376;0,0000;0,0000;16:00;04.01.2020
1377;0,0000;0,0000;16:30;04.01.2020
1378;0,0000;0,0000;17:00;04.01.2020
1379;0,0000;0,0000;17:30;04.01.2020
1380;0,0000;0,0000;18:00;04.01.2020
1381;0,0000;0,0000;18:30;04.01.2020
1382;0,0000;0,0000;19:00;04.01.2020
1383;0,0000;0,0000;19:30;04.01.2020
1384;0,0000;0,0000;20:00;04.01.2020
1385;0,0000;0,0000;20:30;04.01.2020
1386;0,0000;0,0000;21:00;04.01.2020
1387;0,0000;0,0000;21:30;04.01.2020
1388;0,0000;0,0000;22:00;04.01.2020
1389;0,0000;0,0000;22:30;04.01.2020
1390;0,0000;0,0000;23:00;04.01.2020
1391;0,0000;0,0000;23:30;04.01.2020
1392;0,0000;0,0000;00:00;04.01.2020
1393;0,0000;0,0000;00:30;05.01.2020
1394;0,0000;0,0000;01:00;05.01.2020
1395;0,0000;0,0000;01:30;05.01.2020
1396;0,0000;0,0000;02:00;05.01.2020
1397;0,0000;0,0000;02:30;05.01.2020
1398;0,0000;0,0000;03:00;05.01.2020
1399;0,0000;0,0000;03:30;05.01.2020
1400;0,0000;0,0000;04:00;05.01.2020
1401;0,0000;0,0000;04:30;05.01.2020
1402;0,0000;0,0000;05:00;05.01.2020
1403;0,0000;0,0000;05:30;05.01.2020
1404;0,0000;0,0000;06:00;05.01.2020
1405;0,0000;0,0000;06:30;05.01.2020
1406;0,0000;0,0000;07:00;05.01.2020
1407;0,0000;0,0000;07:30;05.01.2020
1408;0,0000;0,0000;08:00;05.01.2020
1409;0,0000;0,0000;08:30;05.01.2020
1410;0,0000;0,0000;09:00;05.01.2020
1411;0,0000;0,0000;09:30;05.01.2020
1412;0,0000;0,0000;10:00;05.01.2020
1413;0,0000;0,0000;10:30;05.01.2020
1414;0,0000;0,0000;11:00;05.01.2020
1415;0,0000;0,0000;11:30;05.01.2020
1416;0,0000;0,0000;12:00;05.01.2020
1417;0,0000;0,0000;12:30;05.01.2020
1418;0,0000;0,0000;13:00;05.01.2020
1419;0,0000;0,0000;13:30;05.01.2020
1420;0,0000;0,0000;14:00;05.01.2020
1421;0,0000;0,0000;14:30;05.01.2020
1422;0,0000;0,0000;15:00;05.01.2020
1423;0,0000;0,0000;15:30;05.01.2020
1424;0,0000;0,0000;16:00;05.01.2020
1425;0,0000;0,0000;16:30;05.01.2020
1426;0,0000;0,0000;17:00;05.01.2020
1427;0,0000;0,0000;17:30;05.01.2020
1428;0,0000;0,0000;18:00;05.01.2020
1429;0,0000;0,0000;18:30;05.01.2020
1430;0,0000;0,0000;19:00;05.01.2020
1431;0,0000;0,0000;19:30;05.01.2020
1432;0,0000;0,0000;20:00;05.01.2020
1433;0,0000;0,0000;20:30;05.01.2020
1434;0,0000;0,0000;21:00;05.01.2020
1435;0,0000;0,0000;21:30;05.01.2020
1436;0,0000;0,0000;22:00;05.01.2020
1437;0,0000;0,0000;22:30;05.01.2020
1438;0,0000;0,0000;23:00;05.01.2020
1439;0,0000;0,0000;23:30;05.01.2020
1392;0,0000;0,0000;00:00;05.01.2020
