№;P+, кВт;Время;Дата
1;0.1870;00:30;01.03.2019
2;0.1900;01:00;01.03.2019
3;0.1910;01:30;01.03.2019
4;0.1970;02:00;01.03.2019
5;0.1990;02:30;01.03.2019
6;0.1970;03:00;01.03.2019
7;0.1960;03:30;01.03.2019
8;0.1920;04:00;01.03.2019
9;0.1960;04:30;01.03.2019
10;0.1960;05:00;01.03.2019
11;0.1920;05:30;01.03.2019
12;0.1830;06:00;01.03.2019
13;0.1890;06:30;01.03.2019
14;0.4690;07:00;01.03.2019
15;0.5470;07:30;01.03.2019
16;0.4700;08:00;01.03.2019
17;0.4860;08:30;01.03.2019
18;0.4850;09:00;01.03.2019
19;0.4970;09:30;01.03.2019
20;0.5420;10:00;01.03.2019
21;0.5930;10:30;01.03.2019
22;0.5760;11:00;01.03.2019
23;0.4890;11:30;01.03.2019
24;0.4950;12:00;01.03.2019
25;0.5100;12:30;01.03.2019
26;0.5100;13:00;01.03.2019
27;0.5150;13:30;01.03.2019
28;0.4910;14:00;01.03.2019
29;0.4830;14:30;01.03.2019
30;0.4560;15:00;01.03.2019
31;0.4000;15:30;01.03.2019
32;0.3720;16:00;01.03.2019
33;0.3300;16:30;01.03.2019
34;0.3390;17:00;01.03.2019
35;0.3110;17:30;01.03.2019
36;0.2690;18:00;01.03.2019
37;0.2770;18:30;01.03.2019
38;0.2590;19:00;01.03.2019
39;0.2640;19:30;01.03.2019
40;0.2390;20:00;01.03.2019
41;0.2580;20:30;01.03.2019
42;0.2390;21:00;01.03.2019
43;0.2550;21:30;01.03.2019
44;0.2320;22:00;01.03.2019
45;0.2120;22:30;01.03.2019
46;0.2210;23:00;01.03.2019
47;0.2010;23:30;01.03.2019
48;0.1980;00:00;02.03.2019
49;0.1900;00:30;02.03.2019
50;0.1830;01:00;02.03.2019
51;0.1870;01:30;02.03.2019
52;0.1830;02:00;02.03.2019
53;0.1830;02:30;02.03.2019
54;0.1820;03:00;02.03.2019
55;0.1850;03:30;02.03.2019
56;0.1840;04:00;02.03.2019
57;0.1840;04:30;02.03.2019
58;0.1820;05:00;02.03.2019
59;0.1790;05:30;02.03.2019
60;0.1800;06:00;02.03.2019
61;0.1840;06:30;02.03.2019
62;0.2410;07:00;02.03.2019
63;0.2820;07:30;02.03.2019
64;0.2570;08:00;02.03.2019
65;0.2540;08:30;02.03.2019
66;0.2230;09:00;02.03.2019
67;0.2190;09:30;02.03.2019
68;0.2210;10:00;02.03.2019
69;0.2560;10:30;02.03.2019
70;0.2350;11:00;02.03.2019
71;0.2670;11:30;02.03.2019
72;0.2480;12:00;02.03.2019
73;0.2640;12:30;02.03.2019
74;0.2640;13:00;02.03.2019
75;0.2670;13:30;02.03.2019
76;0.2560;14:00;02.03.2019
77;0.2670;14:30;02.03.2019
78;0.2460;15:00;02.03.2019
79;0.2310;15:30;02.03.2019
80;0.2600;16:00;02.03.2019
81;0.2700;16:30;02.03.2019
82;0.2210;17:00;02.03.2019
83;0.2550;17:30;02.03.2019
84;0.2170;18:00;02.03.2019
85;0.2370;18:30;02.03.2019
86;0.2340;19:00;02.03.2019
87;0.2400;19:30;02.03.2019
88;0.2310;20:00;02.03.2019
89;0.2360;20:30;02.03.2019
90;0.2320;21:00;02.03.2019
91;0.2290;21:30;02.03.2019
92;0.2270;22:00;02.03.2019
93;0.2190;22:30;02.03.2019
94;0.2100;23:00;02.03.2019
95;0.2170;23:30;02.03.2019
96;0.1930;00:00;03.03.2019
97;0.1980;00:30;03.03.2019
98;0.1930;01:00;03.03.2019
99;0.1920;01:30;03.03.2019
100;0.1910;02:00;03.03.2019
101;0.1910;02:30;03.03.2019
102;0.1900;03:00;03.03.2019
103;0.1900;03:30;03.03.2019
104;0.1890;04:00;03.03.2019
105;0.1890;04:30;03.03.2019
106;0.1900;05:00;03.03.2019
107;0.1870;05:30;03.03.2019
108;0.1880;06:00;03.03.2019
109;0.1900;06:30;03.03.2019
110;0.1860;07:00;03.03.2019
111;0.1860;07:30;03.03.2019
112;0.1870;08:00;03.03.2019
113;0.2710;08:30;03.03.2019
114;0.2660;09:00;03.03.2019
115;0.2610;09:30;03.03.2019
116;0.2150;10:00;03.03.2019
117;0.2010;10:30;03.03.2019
118;0.2180;11:00;03.03.2019
119;0.2300;11:30;03.03.2019
120;0.2380;12:00;03.03.2019
121;0.2420;12:30;03.03.2019
122;0.2400;13:00;03.03.2019
123;0.2410;13:30;03.03.2019
124;0.2460;14:00;03.03.2019
125;0.2530;14:30;03.03.2019
126;0.2320;15:00;03.03.2019
127;0.2120;15:30;03.03.2019
128;0.2520;16:00;03.03.2019
129;0.2490;16:30;03.03.2019
130;0.2280;17:00;03.03.2019
131;0.2360;17:30;03.03.2019
132;0.2360;18:00;03.03.2019
133;0.2390;18:30;03.03.2019
134;0.2410;19:00;03.03.2019
135;0.2410;19:30;03.03.2019
136;0.2220;20:00;03.03.2019
137;0.2550;20:30;03.03.2019
138;0.2300;21:00;03.03.2019
139;0.2400;21:30;03.03.2019
140;0.2210;22:00;03.03.2019
141;0.2420;22:30;03.03.2019
142;0.2040;23:00;03.03.2019
143;0.2090;23:30;03.03.2019
144;0.2110;00:00;04.03.2019
145;0.1950;00:30;04.03.2019
146;0.1800;01:00;04.03.2019
147;0.1790;01:30;04.03.2019
148;0.1780;02:00;04.03.2019
149;0.1820;02:30;04.03.2019
150;0.1790;03:00;04.03.2019
151;0.1780;03:30;04.03.2019
152;0.1780;04:00;04.03.2019
153;0.1790;04:30;04.03.2019
154;0.1790;05:00;04.03.2019
155;0.1760;05:30;04.03.2019
156;0.1760;06:00;04.03.2019
157;0.3180;06:30;04.03.2019
158;0.4710;07:00;04.03.2019
159;0.4970;07:30;04.03.2019
160;0.4550;08:00;04.03.2019
161;0.4520;08:30;04.03.2019
162;0.4770;09:00;04.03.2019
163;0.5680;09:30;04.03.2019
164;0.5130;10:00;04.03.2019
165;0.5500;10:30;04.03.2019
166;0.5430;11:00;04.03.2019
167;0.4910;11:30;04.03.2019
168;0.4980;12:00;04.03.2019
169;0.5110;12:30;04.03.2019
170;0.5470;13:00;04.03.2019
171;0.5940;13:30;04.03.2019
172;0.5730;14:00;04.03.2019
173;0.5220;14:30;04.03.2019
174;0.4630;15:00;04.03.2019
175;0.4970;15:30;04.03.2019
176;0.4010;16:00;04.03.2019
177;0.3530;16:30;04.03.2019
178;0.3350;17:00;04.03.2019
179;0.3360;17:30;04.03.2019
180;0.2830;18:00;04.03.2019
181;0.2760;18:30;04.03.2019
182;0.2710;19:00;04.03.2019
183;0.2760;19:30;04.03.2019
184;0.2700;20:00;04.03.2019
185;0.2530;20:30;04.03.2019
186;0.2580;21:00;04.03.2019
187;0.2720;21:30;04.03.2019
188;0.2550;22:00;04.03.2019
189;0.2380;22:30;04.03.2019
190;0.2730;23:00;04.03.2019
191;0.2300;23:30;04.03.2019
192;0.2190;00:00;05.03.2019
193;0.1950;00:30;05.03.2019
194;0.1860;01:00;05.03.2019
195;0.1920;01:30;05.03.2019
196;0.1890;02:00;05.03.2019
197;0.1880;02:30;05.03.2019
198;0.1850;03:00;05.03.2019
199;0.1850;03:30;05.03.2019
200;0.1840;04:00;05.03.2019
201;0.1840;04:30;05.03.2019
202;0.1860;05:00;05.03.2019
203;0.1850;05:30;05.03.2019
204;0.1820;06:00;05.03.2019
205;0.2090;06:30;05.03.2019
206;0.5050;07:00;05.03.2019
207;0.5650;07:30;05.03.2019
208;0.5410;08:00;05.03.2019
209;0.5070;08:30;05.03.2019
210;0.4790;09:00;05.03.2019
211;0.5190;09:30;05.03.2019
212;0.5340;10:00;05.03.2019
213;0.5370;10:30;05.03.2019
214;0.5470;11:00;05.03.2019
215;0.5350;11:30;05.03.2019
216;0.4810;12:00;05.03.2019
217;0.5270;12:30;05.03.2019
218;0.4970;13:00;05.03.2019
219;0.4840;13:30;05.03.2019
220;0.5120;14:00;05.03.2019
221;0.5010;14:30;05.03.2019
222;0.5180;15:00;05.03.2019
223;0.4680;15:30;05.03.2019
224;0.3620;16:00;05.03.2019
225;0.3480;16:30;05.03.2019
226;0.3240;17:00;05.03.2019
227;0.3630;17:30;05.03.2019
228;0.3320;18:00;05.03.2019
229;0.2940;18:30;05.03.2019
230;0.2980;19:00;05.03.2019
231;0.2770;19:30;05.03.2019
232;0.2920;20:00;05.03.2019
233;0.2710;20:30;05.03.2019
234;0.2580;21:00;05.03.2019
235;0.2670;21:30;05.03.2019
236;0.2430;22:00;05.03.2019
237;0.2320;22:30;05.03.2019
238;0.2320;23:00;05.03.2019
239;0.2240;23:30;05.03.2019
240;0.2010;00:00;06.03.2019
241;0.1910;00:30;06.03.2019
242;0.1870;01:00;06.03.2019
243;0.1840;01:30;06.03.2019
244;0.1840;02:00;06.03.2019
245;0.1850;02:30;06.03.2019
246;0.1840;03:00;06.03.2019
