n;P+;R+;Time;Date
;3,746;0,002;00:30;19.12.2019
;3,744;0;01:00;19.12.2019
;3,756;0;01:30;19.12.2019
;3,708;0;02:00;19.12.2019
;3,65;0;02:30;19.12.2019
;3,634;0;03:00;19.12.2019
;3,636;0;03:30;19.12.2019
;3,64;0;04:00;19.12.2019
;3,654;0;04:30;19.12.2019
;3,632;0;05:00;19.12.2019
;3,652;0;05:30;19.12.2019
;3,68;0;06:00;19.12.2019
;3,744;0,002;06:30;19.12.2019
;3,718;0;07:00;19.12.2019
;3,848;0;07:30;19.12.2019
;3,976;0;08:00;19.12.2019
;4,108;0;08:30;19.12.2019
;4,176;0;09:00;19.12.2019
;4,166;0;09:30;19.12.2019
;4,148;0;10:00;19.12.2019
;4,11;0;10:30;19.12.2019
;4,144;0;11:00;19.12.2019
;4,152;0;11:30;19.12.2019
;4,208;0;12:00;19.12.2019
;4,202;0;12:30;19.12.2019
;4,206;0;13:00;19.12.2019
;4,22;0,002;13:30;19.12.2019
;4,192;0;14:00;19.12.2019
;4,204;0;14:30;19.12.2019
;4,23;0;15:00;19.12.2019
;4,212;0;15:30;19.12.2019
;4,246;0;16:00;19.12.2019
;4,268;0;16:30;19.12.2019
;4,24;0;17:00;19.12.2019
;4,276;0;17:30;19.12.2019
;4,206;0;18:00;19.12.2019
;3,996;0;18:30;19.12.2019
;4,038;0;19:00;19.12.2019
;4,01;0;19:30;19.12.2019
;3,988;0;20:00;19.12.2019
;3,978;0,002;20:30;19.12.2019
;3,984;0;21:00;19.12.2019
;3,982;0;21:30;19.12.2019
;4,062;0;22:00;19.12.2019
;4,008;0;22:30;19.12.2019
;3,96;0;23:00;19.12.2019
;3,848;0;23:30;19.12.2019
;3,82;0;00:00;19.12.2019
