n;P+;R+;Time;Date
;3,58;0,002;00:30;12.12.2019
;3,538;0;01:00;12.12.2019
;3,464;0,002;01:30;12.12.2019
;3,47;0;02:00;12.12.2019
;3,434;0,002;02:30;12.12.2019
;3,428;0;03:00;12.12.2019
;3,43;0,002;03:30;12.12.2019
;3,444;0;04:00;12.12.2019
;3,438;0,002;04:30;12.12.2019
;3,434;0;05:00;12.12.2019
;3,46;0,002;05:30;12.12.2019
;3,46;0;06:00;12.12.2019
;3,482;0,002;06:30;12.12.2019
;3,54;0;07:00;12.12.2019
;3,614;0,002;07:30;12.12.2019
;3,796;0,002;08:00;12.12.2019
;3,904;0,002;08:30;12.12.2019
;3,978;0;09:00;12.12.2019
;4,05;0,002;09:30;12.12.2019
;4,064;0,002;10:00;12.12.2019
;4,086;0,002;10:30;12.12.2019
;4,04;0;11:00;12.12.2019
;4;0,002;11:30;12.12.2019
;4,032;0;12:00;12.12.2019
;4,104;0;12:30;12.12.2019
;4,146;0;13:00;12.12.2019
;4,094;0;13:30;12.12.2019
;4,086;0;14:00;12.12.2019
;4,036;0;14:30;12.12.2019
;4,12;0,002;15:00;12.12.2019
;4,09;0;15:30;12.12.2019
;4,106;0;16:00;12.12.2019
;4,042;0;16:30;12.12.2019
;4,076;0;17:00;12.12.2019
;3,984;0;17:30;12.12.2019
;4,032;0,002;18:00;12.12.2019
;3,952;0;18:30;12.12.2019
;3,874;0,002;19:00;12.12.2019
;3,896;0;19:30;12.12.2019
;3,756;0;20:00;12.12.2019
;3,812;0,002;20:30;12.12.2019
;3,882;0;21:00;12.12.2019
;3,794;0,002;21:30;12.12.2019
;3,756;0;22:00;12.12.2019
;3,792;0,002;22:30;12.12.2019
;3,746;0;23:00;12.12.2019
;3,63;0,002;23:30;12.12.2019
;3,566;0,002;00:00;12.12.2019
;3,522;0;00:30;13.12.2019
;3,526;0,002;01:00;13.12.2019
;3,486;0;01:30;13.12.2019
;3,48;0,002;02:00;13.12.2019
;3,468;0;02:30;13.12.2019
;3,452;0,002;03:00;13.12.2019
;3,452;0,002;03:30;13.12.2019
;3,442;0;04:00;13.12.2019
;3,45;0,002;04:30;13.12.2019
;3,45;0;05:00;13.12.2019
;3,446;0,002;05:30;13.12.2019
;3,46;0;06:00;13.12.2019
;3,744;0,002;06:30;13.12.2019
;3,718;0;07:00;13.12.2019
;3,848;0;07:30;13.12.2019
;3,976;0;08:00;13.12.2019
;4,108;0;08:30;13.12.2019
;4,176;0;09:00;13.12.2019
;4,166;0;09:30;13.12.2019
;4,148;0;10:00;13.12.2019
;4,11;0;10:30;13.12.2019
;4,144;0;11:00;13.12.2019
;4,152;0;11:30;13.12.2019
;4,208;0;12:00;13.12.2019
;4,202;0;12:30;13.12.2019
;4,206;0;13:00;13.12.2019
;4,22;0,002;13:30;13.12.2019
;4,192;0;14:00;13.12.2019
;4,204;0;14:30;13.12.2019
;4,23;0;15:00;13.12.2019
;4,212;0;15:30;13.12.2019
;4,246;0;16:00;13.12.2019
;4,268;0;16:30;13.12.2019
;4,24;0;17:00;13.12.2019
;4,276;0;17:30;13.12.2019
;4,206;0;18:00;13.12.2019
;3,996;0;18:30;13.12.2019
;4,038;0;19:00;13.12.2019
;4,01;0;19:30;13.12.2019
;3,988;0;20:00;13.12.2019
;3,978;0,002;20:30;13.12.2019
;3,984;0;21:00;13.12.2019
;3,982;0;21:30;13.12.2019
;4,062;0;22:00;13.12.2019
;4,008;0;22:30;13.12.2019
;3,96;0;23:00;13.12.2019
;3,848;0;23:30;13.12.2019
;3,82;0;00:00;13.12.2019
;3,684;0;00:30;14.12.2019
;3,654;0;01:00;14.12.2019
;3,618;0;01:30;14.12.2019
;3,558;0;02:00;14.12.2019
;3,568;0;02:30;14.12.2019
;3,544;0,002;03:00;14.12.2019
;3,544;0;03:30;14.12.2019
;3,516;0;04:00;14.12.2019
;3,526;0;04:30;14.12.2019
;3,532;0;05:00;14.12.2019
;3,506;0;05:30;14.12.2019
;3,542;0;06:00;14.12.2019
;3,568;0,002;06:30;14.12.2019
;3,576;0;07:00;14.12.2019
;3,624;0;07:30;14.12.2019
;3,61;0;08:00;14.12.2019
;3,654;0;08:30;14.12.2019
;3,76;0;09:00;14.12.2019
;3,732;0;09:30;14.12.2019
;3,75;0,002;10:00;14.12.2019
;3,834;0;10:30;14.12.2019
;3,824;0;11:00;14.12.2019
;3,848;0;11:30;14.12.2019
;3,882;0;12:00;14.12.2019
;3,896;0;12:30;14.12.2019
;3,852;0;13:00;14.12.2019
;3,916;0,002;13:30;14.12.2019
;3,952;0;14:00;14.12.2019
;3,864;0;14:30;14.12.2019
;3,922;0;15:00;14.12.2019
;3,874;0;15:30;14.12.2019
;3,866;0;16:00;14.12.2019
;3,836;0;16:30;14.12.2019
;3,876;0;17:00;14.12.2019
;3,888;0,002;17:30;14.12.2019
;3,868;0;18:00;14.12.2019
;3,83;0;18:30;14.12.2019
;3,828;0;19:00;14.12.2019
;3,804;0;19:30;14.12.2019
;3,818;0;20:00;14.12.2019
;3,862;0;20:30;14.12.2019
;3,802;0;21:00;14.12.2019
;3,764;0,002;21:30;14.12.2019
;3,802;0;22:00;14.12.2019
;3,796;0;22:30;14.12.2019
;3,794;0;23:00;14.12.2019
;3,75;0;23:30;14.12.2019
;3,71;0;00:00;14.12.2019
;3,696;0;00:30;15.12.2019
;3,67;0,002;01:00;15.12.2019
;3,632;0;01:30;15.12.2019
;3,604;0;02:00;15.12.2019
;3,57;0;02:30;15.12.2019
;3,52;0;03:00;15.12.2019
;3,51;0;03:30;15.12.2019
;3,492;0;04:00;15.12.2019
;3,534;0,002;04:30;15.12.2019
;3,56;0;05:00;15.12.2019
;3,546;0;05:30;15.12.2019
;3,518;0;06:00;15.12.2019
