n;P+;R+;Time;Date
;1,786;0,000;00:30;17.02.2020
;1,776;0,001;01:00;17.02.2020
;1,776;0,000;01:30;17.02.2020
;1,789;0,000;02:00;17.02.2020
;1,831;0,000;02:30;17.02.2020
;1,826;0,000;03:00;17.02.2020
;1,833;0,000;03:30;17.02.2020
;1,841;0,000;04:00;17.02.2020
;1,838;0,001;04:30;17.02.2020
;1,839;0,000;05:00;17.02.2020
;1,845;0,000;05:30;17.02.2020
;1,835;0,000;06:00;17.02.2020
;1,860;0,000;06:30;17.02.2020
;1,871;0,000;07:00;17.02.2020
;1,866;0,000;07:30;17.02.2020
;1,813;0,001;08:00;17.02.2020
;1,787;0,000;08:30;17.02.2020
;1,790;0,000;09:00;17.02.2020
;1,865;0,000;09:30;17.02.2020
;1,898;0,000;10:00;17.02.2020
;1,959;0,001;10:30;17.02.2020
;1,995;0,000;11:00;17.02.2020
;2,013;0,001;11:30;17.02.2020
;2,052;0,000;12:00;17.02.2020
;2,090;0,001;12:30;17.02.2020
;2,087;0,000;13:00;17.02.2020
;2,082;0,001;13:30;17.02.2020
;2,051;0,000;14:00;17.02.2020
;2,068;0,001;14:30;17.02.2020
;2,026;0,000;15:00;17.02.2020
;2,069;0,001;15:30;17.02.2020
;2,058;0,001;16:00;17.02.2020
;2,096;0,000;16:30;17.02.2020
;2,080;0,000;17:00;17.02.2020
;2,067;0,001;17:30;17.02.2020
;2,090;0,000;18:00;17.02.2020
;2,013;0,001;18:30;17.02.2020
;1,994;0,000;19:00;17.02.2020
;1,945;0,000;19:30;17.02.2020
;1,948;0,000;20:00;17.02.2020
;1,927;0,001;20:30;17.02.2020
;1,917;0,000;21:00;17.02.2020
;1,907;0,000;21:30;17.02.2020
;1,941;0,000;22:00;17.02.2020
;1,974;0,001;22:30;17.02.2020
;1,888;0,000;23:00;17.02.2020
;1,827;0,000;23:30;17.02.2020
;1,844;0,000;00:00;17.02.2020
;1,841;0,000;00:30;18.02.2020
;1,806;0,000;01:00;18.02.2020
;1,774;0,001;01:30;18.02.2020
;1,776;0,000;02:00;18.02.2020
;1,815;0,000;02:30;18.02.2020
;1,823;0,000;03:00;18.02.2020
;1,823;0,000;03:30;18.02.2020
;1,835;0,000;04:00;18.02.2020
;1,839;0,000;04:30;18.02.2020
;1,846;0,000;05:00;18.02.2020
;1,851;0,001;05:30;18.02.2020
;1,852;0,000;06:00;18.02.2020
;1,868;0,000;06:30;18.02.2020
;1,876;0,000;07:00;18.02.2020
;1,869;0,000;07:30;18.02.2020
;1,809;0,000;08:00;18.02.2020
;1,784;0,000;08:30;18.02.2020
;1,851;0,000;09:00;18.02.2020
;1,882;0,001;09:30;18.02.2020
;1,940;0,000;10:00;18.02.2020
;2,051;0,001;10:30;18.02.2020
;2,033;0,000;11:00;18.02.2020
;2,081;0,001;11:30;18.02.2020
;2,103;0,000;12:00;18.02.2020
;2,096;0,001;12:30;18.02.2020
;2,107;0,000;13:00;18.02.2020
;2,164;0,001;13:30;18.02.2020
;2,129;0,001;14:00;18.02.2020
;2,077;0,000;14:30;18.02.2020
;2,104;0,001;15:00;18.02.2020
;2,120;0,000;15:30;18.02.2020
;2,115;0,000;16:00;18.02.2020
;2,148;0,001;16:30;18.02.2020
;2,108;0,000;17:00;18.02.2020
;2,119;0,000;17:30;18.02.2020
;2,038;0,001;18:00;18.02.2020
;1,974;0,000;18:30;18.02.2020
;1,987;0,000;19:00;18.02.2020
;1,964;0,000;19:30;18.02.2020
;1,964;0,001;20:00;18.02.2020
;1,951;0,000;20:30;18.02.2020
;1,973;0,000;21:00;18.02.2020
;1,936;0,000;21:30;18.02.2020
;1,895;0,001;22:00;18.02.2020
;1,900;0,000;22:30;18.02.2020
;1,864;0,000;23:00;18.02.2020
;1,831;0,000;23:30;18.02.2020
;1,829;0,000;00:00;18.02.2020
;1,808;0,000;00:30;19.02.2020
;1,805;0,000;01:00;19.02.2020
;1,788;0,001;01:30;19.02.2020
;1,810;0,000;02:00;19.02.2020
;1,827;0,000;02:30;19.02.2020
;1,835;0,000;03:00;19.02.2020
;1,844;0,000;03:30;19.02.2020
;1,851;0,000;04:00;19.02.2020
;1,856;0,000;04:30;19.02.2020
;1,862;0,000;05:00;19.02.2020
;1,858;0,000;05:30;19.02.2020
;1,877;0,001;06:00;19.02.2020
;1,868;0,000;06:30;19.02.2020
;1,885;0,000;07:00;19.02.2020
;1,873;0,000;07:30;19.02.2020
;1,828;0,000;08:00;19.02.2020
;1,791;0,000;08:30;19.02.2020
;1,791;0,000;09:00;19.02.2020
;1,839;0,001;09:30;19.02.2020
;1,969;0,000;10:00;19.02.2020
;1,982;0,001;10:30;19.02.2020
;2,007;0,000;11:00;19.02.2020
;2,038;0,001;11:30;19.02.2020
;2,072;0,000;12:00;19.02.2020
;2,094;0,001;12:30;19.02.2020
;2,078;0,000;13:00;19.02.2020
;2,111;0,001;13:30;19.02.2020
;2,126;0,000;14:00;19.02.2020
;2,136;0,001;14:30;19.02.2020
;2,078;0,000;15:00;19.02.2020
;2,062;0,000;15:30;19.02.2020
;2,063;0,001;16:00;19.02.2020
;2,088;0,000;16:30;19.02.2020
;2,070;0,000;17:00;19.02.2020
;2,039;0,001;17:30;19.02.2020
;2,034;0,000;18:00;19.02.2020
;2,043;0,000;18:30;19.02.2020
;1,985;0,001;19:00;19.02.2020
;1,994;0,000;19:30;19.02.2020
;1,968;0,000;20:00;19.02.2020
;1,991;0,000;20:30;19.02.2020
;1,992;0,000;21:00;19.02.2020
;2,002;0,001;21:30;19.02.2020
;1,922;0,000;22:00;19.02.2020
;1,894;0,000;22:30;19.02.2020
;1,885;0,000;23:00;19.02.2020
;1,907;0,000;23:30;19.02.2020
;1,856;0,000;00:00;19.02.2020
