n;P+;R+;Time;Date
;3,762;0;00:30;23.12.2019
;3,72;0;01:00;23.12.2019
;3,706;0,002;01:30;23.12.2019
;3,606;0;02:00;23.12.2019
;3,612;0;02:30;23.12.2019
;3,586;0;03:00;23.12.2019
;3,6;0;03:30;23.12.2019
;3,592;0;04:00;23.12.2019
;3,582;0;04:30;23.12.2019
;3,6;0;05:00;23.12.2019
;3,586;0,002;05:30;23.12.2019
;3,616;0;06:00;23.12.2019
;3,666;0;06:30;23.12.2019
;3,688;0;07:00;23.12.2019
;3,786;0;07:30;23.12.2019
;3,94;0;08:00;23.12.2019
;4,042;0;08:30;23.12.2019
;4,206;0;09:00;23.12.2019
;4,228;0;09:30;23.12.2019
;4,232;0;10:00;23.12.2019
;4,116;0;10:30;23.12.2019
;4,25;0,002;11:00;23.12.2019
;4,174;0;11:30;23.12.2019
;4,11;0;12:00;23.12.2019
;4,176;0;12:30;23.12.2019
;4,22;0;13:00;23.12.2019
;4,276;0;13:30;23.12.2019
;4,264;0;14:00;23.12.2019
;4,254;0;14:30;23.12.2019
;4,204;0;15:00;23.12.2019
;4,168;0;15:30;23.12.2019
;4,202;0;16:00;23.12.2019
;4,14;0;16:30;23.12.2019
;4,16;0,002;17:00;23.12.2019
;4,18;0;17:30;23.12.2019
;4,12;0;18:00;23.12.2019
;4,12;0;18:30;23.12.2019
;4,124;0;19:00;23.12.2019
;4,07;0;19:30;23.12.2019
;4,018;0;20:00;23.12.2019
;3,956;0;20:30;23.12.2019
;4;0;21:00;23.12.2019
;4,02;0;21:30;23.12.2019
;3,948;0;22:00;23.12.2019
;3,906;0;22:30;23.12.2019
;3,946;0,002;23:00;23.12.2019
;3,874;0;23:30;23.12.2019
;3,818;0;00:00;23.12.2019
;3,766;0;00:30;24.12.2019
;3,734;0;01:00;24.12.2019
;3,724;0;01:30;24.12.2019
;3,674;0;02:00;24.12.2019
;3,692;0;02:30;24.12.2019
;3,688;0;03:00;24.12.2019
;3,666;0;03:30;24.12.2019
;3,638;0;04:00;24.12.2019
;3,67;0;04:30;24.12.2019
;3,664;0;05:00;24.12.2019
;3,67;0,002;05:30;24.12.2019
;3,698;0;06:00;24.12.2019
;3,74;0;06:30;24.12.2019
;3,774;0;07:00;24.12.2019
;3,914;0;07:30;24.12.2019
;4,018;0;08:00;24.12.2019
;4,204;0;08:30;24.12.2019
;4,32;0;09:00;24.12.2019
;4,302;0;09:30;24.12.2019
;4,216;0;10:00;24.12.2019
;4,192;0;10:30;24.12.2019
;4,146;0;11:00;24.12.2019
;4,164;0,002;11:30;24.12.2019
;4,238;0;12:00;24.12.2019
;4,254;0;12:30;24.12.2019
;4,278;0;13:00;24.12.2019
;4,274;0;13:30;24.12.2019
;4,23;0;14:00;24.12.2019
;4,22;0;14:30;24.12.2019
;4,206;0;15:00;24.12.2019
;4,262;0;15:30;24.12.2019
;4,24;0;16:00;24.12.2019
;4,206;0;16:30;24.12.2019
;4,174;0,002;17:00;24.12.2019
;4,154;0;17:30;24.12.2019
;4,188;0;18:00;24.12.2019
;4,106;0;18:30;24.12.2019
;3,952;0;19:00;24.12.2019
;4,024;0;19:30;24.12.2019
;3,986;0;20:00;24.12.2019
;3,984;0;20:30;24.12.2019
;3,972;0;21:00;24.12.2019
;3,958;0,002;21:30;24.12.2019
;3,978;0;22:00;24.12.2019
;3,974;0;22:30;24.12.2019
;3,872;0;23:00;24.12.2019
;3,828;0;23:30;24.12.2019
;3,806;0;00:00;24.12.2019
