IMEI;Служебное описание;Тип соединения;Адрес;Статус;Сервер;Адрес сервера;Прошивка;Плата;Интерфейс;SIM-карта;Тел. номер;Тел. номер 2;  Последний выход на связь  ;Тип устройства;Рассылка;Уровень сигнала
358799041729927;Москва, пр-т Кутузовский, д.71 стр.1;IP;172.16.1.3:35048;0;+;192.168.0.235:4999;205.0;-;-;1;79258024665;;Fri Dec 18 09:38:37 MSK 2020;ATM2;;8
358799041670998;Москва, ул. Марксистская, д.34 к.7 Ввод1;IP;172.16.1.3:35067;0;+;192.168.1.94:4999;205.0;-;-;1;79258030532;;Thu Dec 17 23:38:45 MSK 2020;ATM2;;18
353437063763673;Таганрог, ул. Октябрьская, д.39/2-й Переулок, д.1 Ввод 1;IP;172.16.1.3:35116;0;+;192.168.2.12:4999;212.8;02.0;485;1;79259100410;;Mon Jun 08 16:12:42 MSK 2020;ATM2;;24
358799041641478;Москва, ул. Обручева, д.28, к.5;IP;172.16.1.3:35121;0;+;192.168.1.67:4999;205.0;-;-;1;79250957641;;Wed Nov 18 13:48:07 MSK 2020;ATM2;;19
358799041630067;Москва, ул. Кантемировская, д.20, к.5 Ввод1;IP;172.16.1.3:35142;0;+;192.168.1.242:4999;205.0;-;-;1;79250975391;;Fri Dec 18 09:38:57 MSK 2020;ATM2;;19
353437063782517;Тюмень, ул. Мельникайте, д.54, ТП-1228, РУ-0,4кВ, ввод 1;IP;172.16.1.3:35148;0;+;192.168.3.63:4999;212.8;02.0;485;1;79259098111;;Thu Sep 24 23:37:42 MSK 2020;ATM2;;31
358799041716874;Москва, ул. Островитянова, д.21 Ввод 1;IP;172.16.1.3:35156;0;+;192.168.1.104:4999;205.0;-;-;1;;;Sat Aug 08 16:42:03 MSK 2020;ATM2;;18
358799041629135;Москва, пр-д Дежнева, д.2А Ввод1;IP;172.16.1.3:35165;0;+;192.168.1.37:4999;205.0;-;-;1;79250957609;;Fri Dec 18 09:39:01 MSK 2020;ATM2;;23
358799041619185;Москва, ул. Днепропетровская, д.5, к.1;IP;172.16.1.3:35175;0;+;192.168.0.95:4999;205.0;-;-;1;79258030795;;Wed Dec 16 19:12:48 MSK 2020;ATM2;;20
358799041736716;Москва, ул. Братиславская, д.16 Ввод-1;IP;172.16.1.3:35189;0;+;192.168.0.73:4999;205.0;-;-;1;79258030753;;Fri Dec 18 09:38:34 MSK 2020;ATM2;;11
358799041640975;Москва, ул. Кировоградская, д.8, к.4 Ввод1;IP;172.16.1.3:35190;0;+;192.168.1.139:4999;205.0;-;-;1;79258027692;;Mon Jun 22 00:54:02 MSK 2020;ATM2;;11
353437069553813;Белгород, ул. Гражданский проект, д.52 ВРУ-1 Ввод 1;IP;172.16.1.3:35211;0;+;192.168.2.255:4999;212.8;02.0;485;1;79259099546;;Fri Dec 18 08:41:19 MSK 2020;ATM2;;8
356495043972928;Москва, пр-т Университетский, д.23, к.2;IP;172.16.1.3:35217;0;+;192.168.0.56:4999;212.8;02.0;485;1;79258030879;;Mon Nov 23 11:03:11 MSK 2020;ATM2;;9
358799041583183;Москва, ул. 9-ая Соколиной горы, д.3, стр.1 Ввод1;IP;172.16.1.3:35241;0;+;192.168.0.32:4999;205.0;-;-;1;79258030933;;Mon Feb 17 22:16:12 MSK 2020;ATM2;;21
353437069514435;Старый Оскол, ул. Ленина, д.49/44 Ввод 1;IP;172.16.1.3:35280;0;+;192.168.2.254:4999;212.8;02.0;485;1;79259099551;;Fri Dec 18 05:42:19 MSK 2020;ATM2;;17
358799041716296;Москва, ул. Адмирала Лазарева, д.35, к.1 Ввод1;IP;172.16.1.3:35155;0;+;192.168.1.138:4999;205.0;-;-;1;79258027691;;Sun Jan 12 09:35:06 MSK 2020;ATM2;;12
356495043974288;Москва, пр-т Ленинградский, д.71Г Ввод 1;IP;172.16.1.3:35303;0;+;192.168.1.183:4999;212.8;02.0;485;1;79250975306;;Sat Oct 17 15:10:08 MSK 2020;ATM2;;6
353437063680067;Москва, ул. Академика Королева, д.5 (самообсл.);IP;172.16.1.3:35319;0;+;192.168.2.88:4999;212.8;02.0;485;1;79250988566;;Sat Nov 28 16:30:18 MSK 2020;ATM2;;5
353437063781634;Архангельск, ул. Свободы, д.26 Ввод 1;IP;172.16.1.3:35323;0;+;192.168.3.85:4999;212.8;02.0;485;1;79259097443;;Mon Sep 14 13:04:57 MSK 2020;ATM2;;8
356495043939372;Москва, ул. Брянская, д.8 Ввод1;IP;172.16.1.3:35330;0;+;192.168.2.142:4999;212.8;02.0;485;1;79250988634;;Thu Dec 17 23:59:43 MSK 2020;ATM2;;17
353437069869060;Барнаул, ул. Красноармейская, д.77 к. А, ВРУ-1 Ввод 1;IP;172.16.1.3:35358;0;+;192.168.3.97:4999;212.8;02.0;485;1;79259109963;;Thu Dec 26 00:29:38 MSK 2019;ATM2;;13
353437063740630;Барнаул, ул. Красноармейская, д.77 к. Б, ВРУ-1 Ввод 1;IP;172.16.1.3:35360;0;+;192.168.3.96:4999;212.8;02.0;485;1;79259109978;;Sat Aug 08 07:07:50 MSK 2020;ATM2;;16
353437063769779;Краснодар, ул. Красноармейская,  д.34 Ввод 1(резерв);IP;172.16.1.3:35375;0;+;192.168.1.71:4999;212.8;02.0;485;1;79259100533;;Wed Dec 02 11:19:37 MSK 2020;ATM2;;31
356495043972423;Москва, ул. 8 марта, д.6;IP;172.16.1.3:35377;0;+;192.168.2.6:4999;212.8;02.0;485;1;79250975408;;Tue Feb 25 13:11:50 MSK 2020;ATM2;;8
356495043395138;Москва, ул. Дубнинская, д.16, к.1 Ввод1;IP;172.16.1.3:35393;0;+;192.168.2.114:4999;212.8;02.0;485;1;79250988599;;Fri Dec 18 06:51:49 MSK 2020;ATM2;;16
353437063680208;Новосибирск, ул. Серебренниковская, д.20 ВРУ 1;IP;172.16.1.3:35402;0;+;192.168.2.248:4999;212.8;02.0;485;1;79259099613;;Thu Dec 17 23:54:57 MSK 2020;ATM2;;17
353437063793860;Томск, пр-т Фрунзе, д.90/1 ВРУ-0,4 кВ, Ввод 1;IP;172.16.1.3:35403;0;+;192.168.3.47:4999;212.8;02.0;485;1;79259098761;;Thu Dec 17 23:49:50 MSK 2020;ATM2;;16
356495043885591;Москва, ул. Достоевского, д.3 Ввод2;IP;172.16.1.3:35427;0;+;192.168.2.46:4999;212.8;02.0;485;1;79250975462;;Fri May 08 19:00:45 MSK 2020;ATM2;;4
353437063794629;Санкт-Петербург, ул. Красного Текстильщика, д.2 ввод 1;IP;172.16.1.3:35454;0;+;192.168.3.51:4999;212.8;02.0;485;1;79259098638;;Thu Dec 17 23:33:43 MSK 2020;ATM2;;31
356495043915562;Москва, б-р Бескудниковский, д.40, к.3 ввод 1;IP;172.16.1.3:35460;0;+;192.168.1.164:4999;212.8;02.0;485;1;79250975284;;Fri Dec 18 06:34:44 MSK 2020;ATM2;;4
